ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	40,34,42	318,371,314	56,109,64	388,441,440	298	149
5	496,396,389	3,2,4	596,554,586	0,2,5	242	149
6	1,1,8	2,0,2	10,3,1	3,0,1	152	149
7	0,0,1	2,0,3	1,0,3	2,2,5	152	149
9	10,4,14	411,418,454	4,8,4	321,537,528	170	149
10	6,4,6	1441,1653,1602	6,2,8	2588,3198,3148	179	149
11	7,7,8	0,0,1	11,4,7	0,0,0	153	149
12	22,24,30	4,4,0	27,29,20	3,5,24	153	149
13	53,44,57	20,27,35	60,88,82	25,19,43	153	149
14	55,83,72	37,37,48	91,85,105	56,43,49	153	149
15	524,535,614	0,0,1	768,715,908	0,0,0	152	149
16	1469,1609,1477	57,41,58	1975,2269,2549	47,56,118	152	149
17	7,24,14	21,24,30	26,18,19	50,79,57	298	149
20	392,366,441	95,116,102	326,363,416	104,113,111	152	149
21	1957,1824,2132	95,116,102	1308,1755,1795	104,113,111	298	149
22	1913,1801,2106	346,335,415	1287,1737,1782	304,341,396	298	149
23	50,31,26	0,0,0	22,22,20	0,0,1	152	149
25	5870,6401,6560	240,244,273	10494,12443,11612	371,464,437	154	149
27	228,269,252	84,64,66	329,412,465	58,53,59	227	149
28	195,256,251	56,55,70	337,424,454	95,128,123	227	149
29	173,222,186	92,141,100	291,323,381	176,187,192	227	149
31	90,107,104	84,83,66	101,127,97	45,49,59	164	149
32	79,48,91	4,11,7	84,55,78	7,6,16	152	149
33	11,8,14	0,0,4	12,10,4	2,0,0	152	149
36	273,252,297	102,83,100	219,257,290	88,81,62	212	149
44	30,45,31	0,1,2	19,34,43	1,0,0	152	149
45	47,50,45	1,2,0	34,24,39	0,0,1	152	149
50	4466,4712,4434	0,0,0	3354,4321,4558	0,3,0	239	149
51	8,6,5	0,1,0	1,0,3	0,0,0	152	149
53	50,34,56	176,231,273	37,45,64	192,297,266	152	149
