ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	19,28,25	1,2,9	18,36,33	2,2,4	188	149
6	443,528,527	1,2,9	590,665,655	2,2,4	471	149
7	678,817,831	1,2,9	835,934,949	2,2,4	848	149
8	676,788,842	1,2,9	827,933,924	2,2,4	1157	149
9	424,500,504	0,0,2	572,629,622	0,0,0	432	149
10	659,789,808	0,0,2	817,898,916	0,0,0	809	149
11	657,760,819	0,0,2	809,897,891	0,0,0	1118	149
12	261,328,330	26,39,26	268,297,334	23,28,40	526	149
13	259,299,341	26,39,26	260,296,309	23,28,40	835	149
14	39,39,54	41,68,43	34,63,41	42,64,66	458	149
15	16,9,18	123,118,92	10,7,8	108,143,151	154	149
16	174,170,162	744,687,668	144,186,209	597,739,825	630	149
17	57,68,53	0,0,0	68,93,103	2,0,0	176	149
18	0,0,0	32,19,54	0,2,0	49,23,43	242	149
19	12,6,4	3,10,24	2,15,8	25,28,26	290	149
20	136,166,148	1,1,3	199,267,289	2,0,9	210	149
29	12,5,2	12,29,33	3,1,1	2,3,5	167	149
30	3,0,0	5,0,2	5,8,11	31,26,24	179	149
33	19,22,19	1,2,0	18,42,38	0,1,4	411	149
35	517,467,547	0,0,1	1191,1182,1168	1,0,4	756	149
37	3926,4363,4546	0,0,0	3108,3799,3783	0,2,0	540	149
38	4552,4992,4624	0,0,2	3567,4721,4667	0,0,0	1108	149
39	1664,1863,1727	2,0,3	1349,1791,1669	0,0,0	1108	149
40	1120,1037,1161	25,52,19	863,1384,1233	35,42,38	155	149
41	335,344,374	46,33,55	212,247,221	36,36,64	269	149
42	839,1148,1077	67,93,115	617,715,706	90,121,140	655	149
43	81,133,130	1,0,5	140,104,177	5,2,1	191	149
44	523,642,582	68,61,45	537,496,638	48,62,53	191	149
45	2067,1910,2135	6,2,3	1925,2398,2469	7,0,0	699	149
46	126,165,129	1,2,0	198,285,229	2,0,1	158	149
47	1,8,0	1,2,0	1,0,5	2,0,1	173	149
49	20,37,42	362,430,435	38,13,32	432,533,522	253	149
50	485,578,577	79,70,86	553,650,608	128,142,159	185	149
