ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	16638,22837,19968	3,0,4	22791,23228,27449	0,2,0	1093	149
1	15060,20677,17916	4,0,5	20474,20965,24579	0,0,2	1093	149
2	3095,4419,3479	4,0,5	4415,4442,5250	0,0,2	296	149
3	4679,6603,5533	9,24,6	6734,6704,8130	2,1,10	296	149
4	4955,8148,6428	546,643,579	7200,8000,9008	693,760,792	315	149
5	2764,4352,3407	855,1016,938	3788,4324,4886	885,750,842	315	149
6	4430,6978,6131	855,1016,938	6872,7215,8188	885,750,842	421	149
7	6234,10251,8699	159,120,126	9686,10248,11613	95,117,94	421	149
168	1372,1464,985	0,5,0	922,1051,976	0,0,0	308	149
169	1959,1998,1456	1,0,0	1331,1395,1452	0,0,0	275	149
170	1793,1741,1346	1,5,4	1180,1232,1262	0,1,0	241	149
171	290,277,267	601,558,469	193,215,241	436,251,371	232	149
173	638,656,458	0,2,0	780,641,877	0,0,0	309	149
174	783,701,570	0,0,0	802,801,934	0,0,4	323	149
175	744,632,533	3,0,0	765,873,899	7,2,6	274	149
180	202,292,212	0,12,7	278,331,343	23,16,15	269	149
181	334,454,368	653,700,610	422,501,540	802,839,1177	269	149
182	0,23,7	653,700,610	38,27,18	802,839,1177	296	149
183	0,13,0	132,164,156	15,13,5	144,172,200	296	149
184	1214,1362,1128	0,0,0	1771,1999,2303	0,0,1	321	149
185	32,47,32	368,448,323	52,68,60	577,668,686	240	149
186	517,590,495	0,8,5	646,569,708	1,2,0	384	149
187	568,638,515	20,37,12	688,589,736	42,31,36	384	149
188	55,73,78	20,37,12	94,121,128	42,31,36	258	149
189	158,184,194	254,311,217	243,311,344	268,286,273	258	149
190	1400,1774,1348	0,0,1	1897,1804,2035	0,3,0	606	149
191	760,954,765	0,0,1	1113,1053,1138	0,3,0	513	149
198	618,674,576	0,0,0	749,599,786	4,2,0	278	149
199	1255,1263,1241	25,34,19	1470,1149,1513	38,17,31	278	149
200	1224,1154,1067	0,0,0	1358,1190,1471	2,0,3	242	149
201	1340,1273,1134	1,6,0	1479,1351,1690	5,2,6	233	149
202	756,690,651	1,0,2	865,721,929	0,0,0	356	149
203	2,0,3	633,540,548	4,2,0	691,617,804	267	149
204	522,487,434	0,4,0	584,528,694	0,0,0	234	149
205	575,419,499	22,10,9	618,503,643	35,35,20	194	149
207	244,301,228	5,0,2	195,233,215	0,0,0	259	149
208	101,153,88	0,0,2	77,98,110	1,0,0	205	149
209	344,437,336	1,0,0	517,577,693	1,0,0	297	149
210	344,436,335	0,1,0	517,577,692	0,0,0	297	149
211	382,456,372	0,2,1	611,703,699	0,0,1	208	149
212	106,156,118	0,1,0	184,192,188	0,0,0	208	149
213	223,267,249	0,1,0	404,361,498	0,0,0	298	149
214	222,269,250	0,1,0	403,361,499	0,0,0	298	149
215	500,567,506	1,0,3	831,877,1014	1,2,5	298	149
216	1,0,0	0,0,0	0,0,1	2,0,0	286	149
218	0,0,0	0,0,2	1,8,0	0,0,4	203	149
220	98,127,127	9,14,2	140,175,205	9,6,18	307	149
221	102,140,151	9,14,2	139,205,177	9,6,18	301	149
222	176,221,177	1,0,0	186,192,212	0,0,0	318	149
223	118,159,94	2,0,0	138,135,155	2,0,0	230	149
225	105,156,133	0,0,2	146,147,172	0,0,4	257	149
227	132,250,160	1,0,2	171,255,346	0,0,0	203	149
228	95,146,101	6,0,2	113,166,227	0,4,6	352	149
229	203,359,227	6,0,2	271,399,534	0,4,6	350	149
230	0,0,1	0,0,0	0,0,3	0,0,2	181	149
231	1414,2098,1706	5,1,3	1568,2247,2449	5,6,6	226	149
232	2521,3844,3272	0,0,7	3091,4063,4738	2,0,3	773	149
233	263,349,507	1,0,6	324,454,430	4,0,5	325	149
234	156,192,286	1,6,2	177,266,245	0,0,3	325	149
235	106,142,145	1,6,2	142,173,141	0,0,3	264	149
236	212,299,361	0,0,1	285,361,321	0,0,0	264	149
237	230,394,399	0,0,0	264,319,397	1,0,0	264	149
238	136,152,156	0,3,0	147,189,247	0,0,0	245	149
239	316,446,393	0,0,0	342,400,514	0,0,1	302	149
243	886,1131,793	0,0,0	1119,1151,1346	1,0,0	244	149
244	352,470,323	0,0,0	504,472,564	1,0,0	244	149
245	385,559,404	0,0,0	470,473,517	1,0,0	330	149
246	922,1224,874	3,4,0	1091,1158,1325	7,6,26	330	149
247	317,360,261	5,6,5	396,356,494	5,3,0	268	149
248	508,517,445	0,4,1	245,404,382	0,0,5	825	149
249	416,420,370	392,502,332	196,334,310	510,466,578	825	149
250	1042,1176,845	0,0,7	1155,1088,1351	0,0,0	277	149
251	1702,1833,1427	3,0,0	1742,1727,2126	0,0,0	351	149
252	1118,1617,919	543,599,454	1224,1277,1387	642,521,684	298	149
254	74,71,44	0,0,2	72,57,70	0,0,0	325	149
255	432,432,324	4,3,5	311,326,392	10,0,4	214	149
256	2830,3187,2656	3,3,3	2470,2458,2749	1,0,1	243	149
257	1409,1567,1480	1,0,0	1358,1151,1380	0,0,0	270	149
258	1,23,5	978,1260,1041	2,2,0	1084,962,1310	207	149
259	1345,1625,1165	0,0,0	1355,1374,1699	0,0,1	187	149
260	1110,1276,1021	0,0,2	1260,1084,1422	1,0,1	217	149
261	923,1014,877	0,0,2	1043,956,1248	3,0,2	240	149
262	676,763,717	2,0,0	722,717,923	0,0,0	237	149
263	636,653,572	0,0,2	883,753,1090	0,7,2	190	149
264	119,162,119	0,0,0	200,150,217	0,4,2	190	149
265	130,165,131	0,0,2	208,151,223	0,7,2	211	149
266	678,649,677	0,0,0	823,618,935	0,4,2	251	149
267	1180,1110,1088	0,2,0	1488,1211,1792	0,0,1	251	149
