"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902903","regulation of supramolecular fiber organization","48/1085","406/28928",0.118226600985222,3.1521282150235,8.62084275251517,2.46502863992341e-12,1.20909654788243e-08,9.95352617131177e-09,"Mapt/Dctn1/Sptan1/Ppfia1/Nf2/Mtss1/Pick1/Eml4/Map2/Clasp2/Tpm1/Ssh3/Dlg1/Alms1/Clasp1/Camsap2/Nckap1l/Kank3/Sh3pxd2b/Inpp5j/Fes/Kiss1r/Dbn1/Plekhg2/Carmil3/Pxn/Gba2/Nphs1/Togaram2/Pecam1/Fchsd2/Carmil2/Limch1/Camsap1/Bin1/Mapk8/Arfip1/Shank3/Map1s/Arhgef10/Map1b/Tpx2/Cyrib/Dmtn/Rapgef3/Vill/Cttn/Clip1",48
"GO:0051656","establishment of organelle localization","52/1085","500/28928",0.104,2.77282211981567,7.89378991332872,3.99121244542897e-11,7.60690279581628e-08,6.26215550721632e-08,"Mapt/Ap3d1/Ap3b1/Stk25/Dctn1/Exoc7/Map4/Bicdl1/Unc13a/Snhg15/Racgap1/Eml4/Map2/Sirt2/Picalm/Clasp2/Snap91/Scrib/Synj1/Rab3gap1/Dlg1/Cdc42bpa/Exoc1/Nlrp4f/Clasp1/Crocc/Agtpbp1/Sun1/Myo19/Ptk2/Tacc1/Arhgap21/Fes/Zfp207/Snap25/Madd/Kifc5b/Ap3s1/Rab11a/Dnm2/Becn1/Hdac3/Mapk8/Limk2/Cep63/Trim46/Map1s/Map1b/Dnm1/Tacc2/Spry1/Kif13a",52
"GO:0051258","protein polymerization","38/1085","297/28928",0.127946127946128,3.41126782417105,8.2454425549055,4.65253993627907e-11,7.60690279581628e-08,6.26215550721632e-08,"Mapt/Dctn1/Map4/Sptan1/Mtss1/Map2/Clasp2/Tpm1/Ssh3/Dlg1/Clasp1/Camsap2/Nckap1l/Kank3/Inpp5j/Fes/Tubgcp4/Zfp207/Dbn1/Plekhg2/Gba2/Nphs1/Pecam1/Dnm2/Fchsd2/Carmil2/Camsap1/Bin1/Mapk8/Nin/Map1b/Tpx2/Cyrib/Dmtn/Vill/Septin2/Cttn/Clip1",38
"GO:0010639","negative regulation of organelle organization","44/1085","393/28928",0.111959287531807,2.9850306633365,7.8213750160469,1.21592715306664e-10,1.49103067144797e-07,1.2274464629378e-07,"Mapt/Sptan1/Ppfia1/Flcn/Prpf4b/Pick1/Eml4/Map2/Clasp2/Tpm1/Marchf7/Ssh3/Clasp1/Camsap2/Tom1l2/Odf2l/Kank3/Trim9/Inpp5j/Zfp207/Dbn1/Cenatac/Cep97/Togaram2/Pecam1/Dnm2/Carmil2/Camsap1/Becn1/Recql4/Limk2/Shank3/Pot1a/Map1b/Gnl3l/Smg6/Tpx2/Cyrib/Dmtn/Huwe1/Tmem39a/Vill/Pparg/Src",44
"GO:0051056","regulation of small GTPase mediated signal transduction","33/1085","244/28928",0.135245901639344,3.60589257384604,8.06937907333919,2.01980447974707e-10,1.98142819463188e-07,1.63115157564416e-07,"Dab2ip/Agrn/Rtn4/Flcn/Rasa2/Picalm/Rab3gap1/Cdc42bpa/Map4k4/Arhgef3/Rapgef1/Nrg1/Sipa1/Rasa4/Iqsec1/Madd/Mapkap1/Sipa1l2/Abca1/Auts2/Dnm2/Chn1/Ralgps1/Dock9/Arfgap1/Cyrib/Arhgap12/Git2/Rap1gap2/Psd/Psd2/Spry1/Src",33
"GO:0000245","spliceosomal complex assembly","15/1085","50/28928",0.3,7.99852534562212,9.77724592628975,2.44176375315383e-10,1.99614186820326e-07,1.64326416791195e-07,"Luc7l/Rsrp1/Ythdc1/Puf60/Slu7/Mbnl1/Sf3b1/Srsf6/Luc7l3/Srpk2/Prpf39/Celf6/Celf5/Ddx46/Luc7l2",15
"GO:0007264","small GTPase-mediated signal transduction","46/1085","444/28928",0.103603603603604,2.76225349773737,7.38699714095415,6.06565220879316e-10,3.91384946589643e-07,3.22195966547105e-07,"Dab2ip/Dock4/Agrn/Rtn4/Flcn/Racgap1/Rasa2/Picalm/G3bp2/Vav2/Rab3gap1/Cdc42bpa/Map4k4/Arhgef11/Arhgap1/Arhgef3/Rapgef1/Nrg1/Sipa1/Rasa4/Iqsec1/Madd/Rapgef6/Mapkap1/Sipa1l2/Abca1/Auts2/Pecam1/Dnm2/Arhgap33/Chn1/Arhgap5/Ralgps1/Dock9/Arfgap1/Cyrib/Rfxank/Arhgap12/Git2/Ksr1/Rap1gap2/Rapgef3/Psd/Psd2/Spry1/Src",46
"GO:0007015","actin filament organization","48/1085","476/28928",0.100840336134454,2.68857994810828,7.33292523867841,6.38344459269551e-10,3.91384946589643e-07,3.22195966547105e-07,"Plec/Sptan1/Ppfia1/Nf2/Mtss1/Pick1/Sorbs1/Clasp2/Tpm1/Ssh3/Dlg1/Alms1/Nlrp4f/Clasp1/Mical1/Nckap1l/Myo19/Kank3/Mical3/Gas2/Sh3pxd2b/Kiss1r/Dbn1/Plekhg2/Carmil3/Pxn/Gba2/Nphs1/Fat1/Sh3kbp1/Pecam1/Dnm2/Fchsd2/Carmil2/Limch1/Bin1/Arfip1/Shank3/Cald1/Arhgef10/Cyrib/Myo1h/Arhgap12/Dmtn/Rapgef3/Vill/Src/Cttn",48
"GO:0043254","regulation of protein-containing complex assembly","47/1085","463/28928",0.101511879049676,2.70648445820187,7.30711246884716,7.74396800721085e-10,4.07711801489174e-07,3.35636562157298e-07,"Mapt/Dab2ip/Dctn1/Eif4g1/Sptan1/Hsf1/Unc13a/Map2/Sirt2/Clasp2/Snap91/Tpm1/Ssh3/Rab3gap1/Dlg1/Camsap2/Nckap1l/Nrg1/Kank3/Trim9/Inpp5j/Fes/Dbn1/Plekhg2/Abca1/Gba2/Nphs1/Pecam1/Fchsd2/Carmil2/Fermt1/Tmc8/Hmgb1/Camsap1/Bin1/Mapk8/Map1b/Trim65/Gnl3l/Cyrib/Dmtn/Fblim1/Psmc6/Vill/Src/Cttn/Clip1",47
"GO:0008380","RNA splicing","47/1085","464/28928",0.101293103448276,2.70065151755919,7.29012389289561,8.31216720671099e-10,4.07711801489174e-07,3.35636562157298e-07,"Luc7l/Srrm1/Snrpa1/Thoc5/Trrap/Hnrnpa2b1/Srek1/Arvcf/Bcas2/Prpf4b/Rsrp1/Ythdc1/Tia1/Yju2b/Arglu1/Puf60/Thoc1/Elavl4/Clk4/Slu7/U2af1/Zfp326/Mbnl1/Sf3b1/Clasrp/Mbnl2/Srsf6/Rbpms2/Luc7l3/Cenatac/Srpk2/Prpf39/Zcrb1/Lsm7/Pus7/Syncrip/Srrm4/Celf6/Celf5/Zfp638/Ddx46/Prpf40a/Taf15/Luc7l2/Cdk12/Srsf9/Mettl16",47
"GO:0006376","mRNA splice site recognition","11/1085","27/28928",0.407407407407407,10.8621949138078,10.1206307936607,1.47530305251482e-09,6.57851042962291e-07,5.41556220999699e-07,"Luc7l/Ythdc1/Puf60/Slu7/Mbnl1/Srsf6/Luc7l3/Prpf39/Celf6/Celf5/Luc7l2",11
"GO:0032271","regulation of protein polymerization","29/1085","211/28928",0.137440758293839,3.66441129578265,7.66798956036622,1.71457151941817e-09,7.00831108562176e-07,5.76938276183166e-07,"Mapt/Dctn1/Sptan1/Map2/Clasp2/Tpm1/Ssh3/Dlg1/Camsap2/Nckap1l/Kank3/Inpp5j/Fes/Dbn1/Plekhg2/Gba2/Nphs1/Pecam1/Fchsd2/Carmil2/Camsap1/Bin1/Mapk8/Map1b/Cyrib/Dmtn/Vill/Cttn/Clip1",29
