"gene_id_clean","gene_symbol","log2FoldChange","padj"
"ENSMUSG00000040537","Adam22",-4.0569580112208,0
"ENSMUSG00000056602","Fry",-2.71430599673464,0
"ENSMUSG00000032269","Htr3a",2.78830952414716,0
"ENSMUSG00000090223","Pcp4",2.97305545326692,0
"ENSMUSG00000026185","Igfbp5",2.71501881426104,1.0001932693546e-263
"ENSMUSG00000033436","Armcx2",-1.85887605114799,9.34789675164814e-222
"ENSMUSG00000020297","Nsg2",-1.48857646682353,3.97461863507847e-216
"ENSMUSG00000050071","Bex1",-4.04090174529902,9.7186581255297e-210
"ENSMUSG00000034403","Pja1",-4.52700715696758,5.18724216883778e-209
"ENSMUSG00000051910","Sox6",-2.26102947958184,3.05356589145226e-191
"ENSMUSG00000031410","Nxf7",-3.27130208207555,4.59981100379404e-190
"ENSMUSG00000066621","Tecpr1",-2.0073222955758,5.09540107829647e-175
"ENSMUSG00000014599","Csf1",2.0301909917857,6.73561898437503e-171
"ENSMUSG00000029621","Arpc1a",-1.49001890451576,2.72351785092533e-166
"ENSMUSG00000040703","Cyp2s1",-2.56138167415843,4.40494093654951e-159
"ENSMUSG00000056820","Tsnax",-1.66770843494017,2.4534728071875e-154
"ENSMUSG00000019989","Enpp3",1.68767218783089,2.05156631898194e-153
"ENSMUSG00000026387","Sctr",-2.46039784064152,7.45670880931048e-153
"ENSMUSG00000036913","Trim67",-1.28975970485852,9.29619396307273e-147
"ENSMUSG00000045482","Trrap",-1.34892155727986,3.84585487527961e-145
"ENSMUSG00000027827","Kcnab1",-1.75740991244978,2.39835750361134e-142
"ENSMUSG00000032231","Anxa2",1.4163606124819,7.6826029107663e-139
"ENSMUSG00000026443","Lrrn2",-2.42337244517176,1.08004204290993e-138
"ENSMUSG00000025094","Slc18a2",-2.53206721419093,5.70561406370765e-137
"ENSMUSG00000028289","Epha7",-2.58324602269943,1.51177744736985e-136
"ENSMUSG00000026959","Grin1",-2.10730500232319,5.57491632773541e-134
"ENSMUSG00000029838","Ptn",1.94419779518898,4.0626242689575e-133
"ENSMUSG00000020599","Rgs9",-1.90786365582758,9.88729316901318e-131
"ENSMUSG00000072966","Gprasp2",-1.27229889953239,2.03905496894337e-129
"ENSMUSG00000036565","Ttyh3",-1.52257805218218,2.718933290491e-126
"ENSMUSG00000025855","Prkar1b",-1.39584387021481,1.50834079855711e-122
"ENSMUSG00000000881","Dlg3",-2.11027570874364,6.90385713480663e-122
"ENSMUSG00000098557","Kctd12",2.036200950792,1.64856625965039e-121
