"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","RNA splicing","50/1007","464/28928",0.107758620689655,3.09557237270143,8.64200748029504,1.81432051864514e-12,9.10426036256133e-09,7.36805111677154e-09,"Arvcf/Hspa8/Srsf6/Mettl16/Lsm2/Lsm5/Ccnl2/Srpk2/Srrm1/Gemin8/Srsf7/U2af1/Puf60/Raly/Rbm25/Tra2b/Sf3b1/Lsm7/Dhx9/Taf15/Elavl4/Tia1/Ythdc1/Zfp326/Srek1/Clasrp/Clk4/Sf1/Snrpd1/Prpf40b/Luc7l2/Rbm41/Clk1/Ccnl1/Prdx6/Prpf39/Kat2a/Ddx46/Thoc2/Paxbp1/Yju2b/Acin1/Ppil2/Clk3/Arglu1/Prpf4b/Mbnl1/Rsrp1/Akap17b/Hnrnpa2b1",50
"GO:0022604","regulation of cell morphogenesis","37/1007","284/28928",0.130281690140845,3.74259059820692,8.82072472908937,5.79790253085026e-12,1.45469374499033e-08,1.17727936652738e-08,"Sh3glb1/Sema4a/Picalm/Mov10/Zmym3/Numbl/Ache/Spag9/Dlg4/Fblim1/Tnik/Actr2/Dnm1l/Unc13a/Cdc42se2/Macf1/Obsl1/Numb/Cask/Plxna4/Myo9a/Dmtn/Xlr3b/Plxna3/Caprin2/Epb41l2/Fgd4/Syt17/Ptprf/Lrp8/Fmnl3/Slc23a2/Epb41l3/Ago4/Nf2/Rims2/Ptk2",37
"GO:0031346","positive regulation of cell projection organization","48/1007","471/28928",0.101910828025478,2.92758334967331,8.00995380859673,3.65009382654655e-11,5.02150699253823e-08,4.06389083031874e-08,"L1cam/Mapt/Nf1/Agrn/Sh3glb1/Picalm/Nrg1/Auts2/Numbl/Ezh2/Ache/Dlg4/Ltk/Kidins220/Dzip1/Tnik/Stk25/Actr2/Rapgef1/Cpeb1/Elavl4/Dnm1l/Crocc/Macf1/Obsl1/Numb/Cask/Nrdc/Plxna4/Flna/Xlr3b/Nptn/Plxna3/Tenm3/Caprin2/Kat2a/Ptprf/Tsc2/Def8/Adnp/Lrp8/Ttbk2/Grin1/Ube2v2/Nckap1/Ndel1/Plce1/Acsl6",48
"GO:0010639","negative regulation of organelle organization","43/1007","393/28928",0.10941475826972,3.14314809059232,8.12382327330846,4.00279553012214e-11,5.02150699253823e-08,4.06389083031874e-08,"Eml2/Mapt/Map2/Higd1a/Rtel1/Ppfia1/Ssh3/Bak1/Kntc1/Tom1l2/Shank1/Dnm1l/Trim9/Kank3/Nme6/Becn1/Camsap3/Cyrib/Cdk5rap2/Dmtn/Pparg/Flcn/Terf2/Clasp2/Zfp207/Ctc1/Kat2a/Bbof1/Sec22b/Cib1/Ttbk2/Odf2l/Limk2/Usp44/Prpf4b/Ppargc1a/Eml4/Evl/Huwe1/Inpp5j/Mdm1/Gnl3l/Sptan1",43
"GO:0051056","regulation of small GTPase mediated signal transduction","31/1007","244/28928",0.127049180327869,3.64973057450307,7.89364738031288,5.64146893458196e-10,5.66177822274646e-07,4.58206045255099e-07,"Dgkz/Rasal3/Nf1/Rasgef1a/Agrn/Picalm/Camk2d/Dock9/Nrg1/Auts2/Arhgap12/Chn1/Syngap1/Rapgef1/Ralgps1/Psd/Cdc42se2/Ralgapa1/Cyrib/Abca1/Itgav/Flcn/Iqsec1/Arfgap1/Cdc42bpa/Sipa1l2/Map4k4/Tsc2/Madd/Mapkap1/Icmt",31
"GO:0030100","regulation of endocytosis","38/1007","355/28928",0.107042253521127,3.0749933563646,7.47057302307924,1.01739510859989e-09,8.50881442492375e-07,6.88615847189189e-07,"Hspa8/Cd47/Picalm/Ank3/Nrg1/Il15/Dlg4/Myo18a/Hpca/Rapgef1/Usp46/Dnm1l/Bin1/Synj1/Nckap1l/Numb/Mff/Sirt2/Rab4b/Pparg/Actn4/Scrib/Itgav/Iqsec1/Arfgap1/Dnajc6/Dysf/Syt17/Aak1/Tsc2/Scamp5/Pacsin2/Snph/Dgkq/Kcnc3/Sgip1/Atg7/Ptk2",38
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","24/1007","166/28928",0.144578313253012,4.15328842679556,7.73765120152996,3.74478453381275e-09,2.68447554152462e-06,2.1725381551052e-06,"Dlg3/Myo6/Nrg1/Inpp4a/Ppfia1/Cpt1c/Dlg4/Mapk10/Tnik/Epb41l1/Hpca/Usp46/Sh3glb2/Slc12a5/Synj1/Numb/Nrxn3/Sirt2/Snap23/Gripap1/Scrib/Iqsec1/Syt17/Erbin",24
"GO:0000375","RNA splicing, via transesterification reactions","34/1007","315/28928",0.107936507936508,3.10068252391986,7.11926158569523,6.20842245744722e-09,2.70936078263404e-06,2.19267770749557e-06,"Hspa8/Srsf6/Mettl16/Lsm2/Lsm5/Srpk2/Srrm1/Gemin8/Srsf7/U2af1/Puf60/Rbm25/Tra2b/Sf3b1/Lsm7/Dhx9/Tia1/Ythdc1/Sf1/Snrpd1/Prpf40b/Luc7l2/Rbm41/Prdx6/Prpf39/Ddx46/Paxbp1/Yju2b/Acin1/Arglu1/Prpf4b/Mbnl1/Rsrp1/Hnrnpa2b1",34
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","34/1007","315/28928",0.107936507936508,3.10068252391986,7.11926158569523,6.20842245744722e-09,2.70936078263404e-06,2.19267770749557e-06,"Hspa8/Srsf6/Mettl16/Lsm2/Lsm5/Srpk2/Srrm1/Gemin8/Srsf7/U2af1/Puf60/Rbm25/Tra2b/Sf3b1/Lsm7/Dhx9/Tia1/Ythdc1/Sf1/Snrpd1/Prpf40b/Luc7l2/Rbm41/Prdx6/Prpf39/Ddx46/Paxbp1/Yju2b/Acin1/Arglu1/Prpf4b/Mbnl1/Rsrp1/Hnrnpa2b1",34
"GO:0000398","mRNA splicing, via spliceosome","34/1007","315/28928",0.107936507936508,3.10068252391986,7.11926158569523,6.20842245744722e-09,2.70936078263404e-06,2.19267770749557e-06,"Hspa8/Srsf6/Mettl16/Lsm2/Lsm5/Srpk2/Srrm1/Gemin8/Srsf7/U2af1/Puf60/Rbm25/Tra2b/Sf3b1/Lsm7/Dhx9/Tia1/Ythdc1/Sf1/Snrpd1/Prpf40b/Luc7l2/Rbm41/Prdx6/Prpf39/Ddx46/Paxbp1/Yju2b/Acin1/Arglu1/Prpf4b/Mbnl1/Rsrp1/Hnrnpa2b1",34
