ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000096768"	"Gm47283"	chrY	+	90804564	90804949	90804564	90804686	90827617	90827733
1	"ENSMUSG00000121343"	"Gm21679"	chrY	-	29616843	29616974	29616943	29616974	29611661	29611779
2	"ENSMUSG00000035299"	"Mid1"	chrX	+	168709949	168710665	168709949	168710551	168749058	168749154
3	"ENSMUSG00000035299"	"Mid1"	chrX	+	168758254	168758989	168758254	168758302	168759917	168760025
4	"ENSMUSG00000035299"	"Mid1"	chrX	+	168755880	168756391	168755880	168755912	168759917	168760027
5	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205699	163205579	163205660	163210927	163211060
6	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205660	163210927	163211060
7	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205660	163210927	163211060
8	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205660	163210927	163211060
9	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205699	163210927	163211060
10	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205699	163210927	163211060
11	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205699	163210927	163211060
12	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205982	163210927	163211060
13	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205982	163210927	163211060
14	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163206359	163210927	163211060
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369950	159369774	159369945	159371960	159372014
16	"ENSMUSG00000025283"	"Sat1"	chrX	-	153998115	153998680	153998596	153998680	153997028	153997130
17	"ENSMUSG00000041115"	"Iqsec2"	chrX	+	150999336	150999462	150999336	150999435	151001872	151001972
18	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150252471	150254838
19	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150019529	150019723	150019529	150019630	150019888	150020032
20	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150076805	150077037	150076805	150076896	150077417	150077548
21	"ENSMUSG00000031433"	"Rbm41"	chrX	-	138895860	138895977	138895921	138895977	138894660	138894853
22	"ENSMUSG00000031434"	"Morc4"	chrX	-	138755158	138755287	138755227	138755287	138752761	138752881
23	"ENSMUSG00000042498"	"Radx"	chrX	+	138381119	138381887	138381119	138381251	138393389	138393532
24	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	134652693	134652766	134652693	134652725	134679654	134681535
25	"ENSMUSG00000096508"	"Gm7903"	chrX	+	134334908	134335035	134334908	134335027	134339279	134339579
26	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619668	133619857	133619668	133619741	133620143	133620252
27	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619668	133619857	133619668	133619741	133620375	133620474
28	"ENSMUSG00000009596"	"Taf7l"	chrX	-	133371128	133371258	133371236	133371258	133370864	133370920
