ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984	2	87,54,118	23,29,21	123,192,186	37,49,50	298	149	0.800099138317	1.0	0.654,0.482,0.737	0.624,0.662,0.65	-0.021
4	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150250794	150250852	4	103,149,124	281,287,204	158,175,233	240,259,242	298	149	0.000267177148068	0.0023330407475028792	0.155,0.206,0.233	0.248,0.253,0.325	-0.077
5	"ENSMUSG00000025268"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148	5	59,84,60	458,445,392	130,163,214	546,452,582	298	149	3.21844573214e-09	1.5457238016250758e-07	0.061,0.086,0.071	0.106,0.153,0.155	-0.065
7	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619474	133619567	7	6,2,6	6,6,1	10,7,19	2,10,2	298	149	0.189205908322	0.397685968206576	0.333,0.143,0.75	0.714,0.259,0.826	-0.191
8	"ENSMUSG00000000223"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135	8	18,25,18	11,12,3	10,24,19	5,3,0	298	149	0.0509245409793	0.14932823320167674	0.45,0.51,0.75	0.5,0.8,1.0	-0.197
9	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026	9	162,198,212	41,32,22	164,199,243	85,63,78	298	149	7.19290554151e-05	0.0007749273313404709	0.664,0.756,0.828	0.491,0.612,0.609	0.179
10	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026	10	257,341,368	32,48,25	252,310,358	57,46,80	298	149	0.000277337951042	0.0024040465317152876	0.801,0.78,0.88	0.689,0.771,0.691	0.103
12	"ENSMUSG00000046032"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470	12	942,877,783	79,93,85	805,775,907	88,76,73	298	149	0.771528278994	1.0	0.856,0.825,0.822	0.821,0.836,0.861	-0.005
13	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100123706	100123873	100124313	100124477	13	135,174,131	646,737,527	60,78,85	683,531,694	298	149	1.29593000775e-08	5.418512055933529e-07	0.095,0.106,0.111	0.042,0.068,0.058	0.048
15	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580479	93580962	93580479	93580594	93580899	93580962	15	226,347,232	3682,3739,3642	774,757,981	4527,4334,5239	298	149	0	0.0	0.03,0.044,0.031	0.079,0.08,0.086	-0.047
