"event_id","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR","direction"
"ENSMUSG00000095041_chrJH584304.1_56985_57151","ENSMUSG00000095041","ENSMUSG00000095041","chrJH584304.1",56985,57151,166,"Regular (>50bp)",-0.115,2.23977840969747e-06,"Exclusion"
"ENSMUSG00000040621_chrX_164961529_164961638","ENSMUSG00000040621","Gemin8","chrX",164961529,164961638,109,"Regular (>50bp)",0.158,0.0180314590837754,"Inclusion"
"ENSMUSG00000025261_chrX_150586751_150586798","ENSMUSG00000025261","Huwe1","chrX",150586751,150586798,47,"Small (30-50bp)",0.183,0.00141797295325857,"Inclusion"
"ENSMUSG00000041229_chrX_150355361_150355664","ENSMUSG00000041229","Phf8","chrX",150355361,150355664,303,"Regular (>50bp)",-0.162,5.82565132619382e-05,"Exclusion"
"ENSMUSG00000031433_chrX_138892264_138892336","ENSMUSG00000031433","Rbm41","chrX",138892264,138892336,72,"Regular (>50bp)",-0.106,0.0303375965092825,"Exclusion"
"ENSMUSG00000087368_chrX_135661166_135661324","ENSMUSG00000087368","BC065397","chrX",135661166,135661324,158,"Regular (>50bp)",-0.114,0.00648505783723075,"Exclusion"
"ENSMUSG00000031156_chrX_7758378_7759654","ENSMUSG00000031156","Slc35a2","chrX",7758378,7759654,1276,"Regular (>50bp)",-0.102,0.000336218499461787,"Exclusion"
"ENSMUSG00000031153_chrX_7666774_7666822","ENSMUSG00000031153","Gripap1","chrX",7666774,7666822,48,"Small (30-50bp)",-0.161,0,"Exclusion"
"ENSMUSG00000031153_chrX_7669832_7669925","ENSMUSG00000031153","Gripap1","chrX",7669832,7669925,93,"Regular (>50bp)",-0.139,6.63011849973594e-10,"Exclusion"
"ENSMUSG00000025217_chr19_45411571_45411679","ENSMUSG00000025217","Btrc","chr19",45411571,45411679,108,"Regular (>50bp)",-0.135,1.08455768614005e-10,"Exclusion"
"ENSMUSG00000035342_chr19_45003292_45003392","ENSMUSG00000035342","Lzts2","chr19",45003292,45003392,100,"Regular (>50bp)",0.455,5.53412016750923e-05,"Inclusion"
"ENSMUSG00000025157_chr19_41928295_41928343","ENSMUSG00000025157","Zdhhc16","chr19",41928295,41928343,48,"Small (30-50bp)",-0.135,0.000496877625633642,"Exclusion"
"ENSMUSG00000024754_chr19_21757534_21757616","ENSMUSG00000024754","Cemip2","chr19",21757534,21757616,82,"Regular (>50bp)",0.115,0.000197172422920368,"Inclusion"
"ENSMUSG00000024743_chr19_10399120_10399252","ENSMUSG00000024743","Syt7","chr19",10399120,10399252,132,"Regular (>50bp)",0.118,2.46393202228475e-05,"Inclusion"
"ENSMUSG00000024743_chr19_10407701_10407824","ENSMUSG00000024743","Syt7","chr19",10407701,10407824,123,"Regular (>50bp)",0.13,0.0111636550323676,"Inclusion"
"ENSMUSG00000075289_chr19_4225003_4225030","ENSMUSG00000075289","Carns1","chr19",4225003,4225030,27,"Microexon (0-30bp)",0.185,0.0411710677011618,"Inclusion"
"ENSMUSG00000056153_chr18_88905115_88905189","ENSMUSG00000056153","Socs6","chr18",88905115,88905189,74,"Regular (>50bp)",0.353,7.41139779483175e-08,"Inclusion"
"ENSMUSG00000024530_chr18_67611019_67611131","ENSMUSG00000024530","Prelid3a","chr18",67611019,67611131,112,"Regular (>50bp)",-0.203,0.0015288687022046,"Exclusion"
"ENSMUSG00000032735_chr18_61938707_61938715","ENSMUSG00000032735","Ablim3","chr18",61938707,61938715,8,"Microexon (0-30bp)",-0.145,0.00680940737724422,"Exclusion"
"ENSMUSG00000040929_chr19_27960253_27960346","ENSMUSG00000040929","Rfx3","chr19",27960253,27960346,93,"Regular (>50bp)",0.134,0.00273950414669109,"Inclusion"
"ENSMUSG00000019143_chr18_36922209_36922337","ENSMUSG00000019143","Hars2","chr18",36922209,36922337,128,"Regular (>50bp)",-0.179,0.000544633605833699,"Exclusion"
"ENSMUSG00000036501_chr18_34592409_34592475","ENSMUSG00000036501","Fam13b","chr18",34592409,34592475,66,"Regular (>50bp)",0.116,0,"Inclusion"
"ENSMUSG00000041225_chr18_6115813_6115850","ENSMUSG00000041225","Arhgap12","chr18",6115813,6115850,37,"Small (30-50bp)",0.116,0.0490154190451444,"Inclusion"
"ENSMUSG00000034647_chr17_66349527_66349596","ENSMUSG00000034647","Ankrd12","chr17",66349527,66349596,69,"Regular (>50bp)",0.138,9.80650514915959e-09,"Inclusion"
"ENSMUSG00000040828_chr17_56966528_56966581","ENSMUSG00000040828","Catsperd","chr17",56966528,56966581,53,"Regular (>50bp)",-0.263,0.00117353483279512,"Exclusion"
"ENSMUSG00000013236_chr17_56733386_56733504","ENSMUSG00000013236","Ptprs","chr17",56733386,56733504,118,"Regular (>50bp)",0.135,0,"Inclusion"
"ENSMUSG00000013236_chr17_56734790_56734817","ENSMUSG00000013236","Ptprs","chr17",56734790,56734817,27,"Microexon (0-30bp)",-0.124,0,"Exclusion"
"ENSMUSG00000003198_chr17_56199757_56199860","ENSMUSG00000003198","Zfp959","chr17",56199757,56199860,103,"Regular (>50bp)",0.291,3.9339154757188e-06,"Inclusion"
"ENSMUSG00000061130_chr17_85322836_85322863","ENSMUSG00000061130","Ppm1b","chr17",85322836,85322863,27,"Microexon (0-30bp)",0.145,0.00672431491383747,"Inclusion"
"ENSMUSG00000094707_chr19_35865634_35865860","ENSMUSG00000094707","A830019P07Rik","chr19",35865634,35865860,226,"Regular (>50bp)",0.197,4.17895702909678e-05,"Inclusion"
"ENSMUSG00000023952_chr17_46473959_46474139","ENSMUSG00000023952","Gtpbp2","chr17",46473959,46474139,180,"Regular (>50bp)",0.129,0.00771491931129666,"Inclusion"
"ENSMUSG00000023942_chr17_45904257_45904358","ENSMUSG00000023942","Slc29a1","chr17",45904257,45904358,101,"Regular (>50bp)",0.117,1.78279092179806e-05,"Inclusion"
"ENSMUSG00000023942_chr17_45904257_45904489","ENSMUSG00000023942","Slc29a1","chr17",45904257,45904489,232,"Regular (>50bp)",0.101,0.0290812604036087,"Inclusion"
"ENSMUSG00000079491_chr17_36431076_36431324","ENSMUSG00000079491","H2-T10","chr17",36431076,36431324,248,"Regular (>50bp)",-0.245,2.74560092304994e-07,"Exclusion"
"ENSMUSG00000015452_chr17_34819324_34819351","ENSMUSG00000015452","Ager","chr17",34819324,34819351,27,"Microexon (0-30bp)",-0.122,0.0171914712868452,"Exclusion"
"ENSMUSG00000024027_chr17_31144491_31144651","ENSMUSG00000024027","Glp1r","chr17",31144491,31144651,160,"Regular (>50bp)",-0.102,0.0127620577758632,"Exclusion"
"ENSMUSG00000024008_chr17_29421828_29421879","ENSMUSG00000024008","Cpne5","chr17",29421828,29421879,51,"Regular (>50bp)",-0.14,0.00699309370813126,"Exclusion"
