ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984	2	56,61,63	6,13,17	123,192,186	37,49,50	298	149	0.157210361897	0.39187279677197023	0.824,0.701,0.649	0.624,0.662,0.65	0.079
4	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150250794	150250852	4	90,157,86	154,159,174	158,175,233	240,259,242	298	149	0.389664633887	0.7228007380258085	0.226,0.331,0.198	0.248,0.253,0.325	-0.024
5	"ENSMUSG00000025268"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148	5	54,83,56	338,301,319	130,163,214	546,452,582	298	149	0.000151953188404	0.0018826476066743864	0.074,0.121,0.081	0.106,0.153,0.155	-0.046
6	"ENSMUSG00000025268"	"Maged2"	chrX	-	149594818	149595310	149594818	149594944	149595151	149595310	6	947,1164,1122	0,2,0	2042,1650,1999	0,0,0	298	149	1	1.0	1.0,0.997,1.0	1.0,1.0,1.0	-0.001
8	"ENSMUSG00000000223"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135	8	28,12,11	2,7,0	10,24,19	5,3,0	298	149	0.981625552656	1.0	0.875,0.462,1.0	0.5,0.8,1.0	0.012
9	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026	9	101,153,123	75,83,88	164,199,243	85,63,78	298	149	0.000685274537442	0.006462444653619701	0.402,0.48,0.411	0.491,0.612,0.609	-0.14
10	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026	10	225,282,251	84,64,66	252,310,358	57,46,80	298	149	0.0248136033668	0.1008998132231217	0.573,0.688,0.655	0.689,0.771,0.691	-0.078
12	"ENSMUSG00000046032"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470	12	748,717,751	79,80,98	805,775,907	88,76,73	298	149	0.121024125131	0.32621131402526854	0.826,0.818,0.793	0.821,0.836,0.861	-0.027
13	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100123706	100123873	100124313	100124477	13	66,50,76	382,298,376	60,78,85	683,531,694	298	149	0.00129103474126	0.010590611473395389	0.08,0.077,0.092	0.042,0.068,0.058	0.027
15	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580479	93580962	93580479	93580594	93580899	93580962	15	446,430,335	4831,5106,5117	774,757,981	4527,4334,5239	298	149	0	0.0	0.044,0.04,0.032	0.079,0.08,0.086	-0.043
16	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580899	93581190	93580899	93580962	93581147	93581190	16	58,67,79	4682,4906,5097	139,107,116	4675,4410,5376	298	149	0.0437267352434	0.15463598398576395	0.006,0.007,0.008	0.015,0.012,0.011	-0.006
17	"ENSMUSG00000025151"	"Maged1"	chrX	-	93581281	93581671	93581281	93581361	93581579	93581671	17	1708,1746,1705	3861,4094,4359	2266,2480,2963	3826,3439,3880	298	149	4.81456330359e-09	2.835856713081782e-07	0.181,0.176,0.164	0.228,0.265,0.276	-0.083
20	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73351735	73351867	20	1411,1520,1644	1725,1806,1737	1402,1964,2092	1913,2028,1839	298	149	0.451769483071	0.7872006560010198	0.29,0.296,0.321	0.268,0.326,0.363	-0.017
21	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353568	73353740	21	260,332,290	3723,4042,4072	356,503,516	4194,4866,5203	298	149	0.0069727153065	0.04002071261382508	0.034,0.039,0.034	0.041,0.049,0.047	-0.01
22	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344183	73344964	73344183	73344377	73344929	73344964	22	107,100,146	1126,1118,1262	98,120,114	1207,935,1149	298	149	0.935711936138	1.0	0.045,0.043,0.055	0.039,0.06,0.047	-0.001
23	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73326355	73327006	73326355	73326722	73326877	73327006	23	37,33,47	720,701,786	26,33,67	675,1124,1125	298	149	0.18477907054	0.4408440906043958	0.025,0.023,0.029	0.019,0.014,0.029	0.005
24	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332053	73332119	24	779,880,821	46,33,55	963,1470,1600	12,26,28	298	149	8.85069795231e-13	1.2720223097059933e-10	0.894,0.93,0.882	0.976,0.966,0.966	-0.067
25	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332056	73332119	25	783,880,821	176,231,273	959,1470,1603	131,158,159	298	149	1.33226762955e-15	2.9917734956082185e-13	0.69,0.656,0.601	0.785,0.823,0.834	-0.165
26	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332534	73332625	26	586,709,610	14,2,8	682,1105,1273	9,15,4	298	149	0.345370572579	0.6653707599336981	0.954,0.994,0.974	0.974,0.974,0.994	-0.007
27	"ENSMUSG00000031387"	"Renbp"	chrX	-	72972721	72974123	72972721	72973868	72974013	72974123	27	60,77,64	432,537,510	33,38,52	457,470,516	294	149	0.00104150588977	0.008909834909389546	0.066,0.068,0.06	0.035,0.039,0.049	0.024
28	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72830789	72832559	72830789	72830912	72832440	72832559	28	102,93,93	2700,2920,2648	67,98,79	2760,2714,3088	298	149	0.101507918737	0.2856443265081723	0.019,0.016,0.017	0.012,0.018,0.013	0.003
29	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030	29	309,290,327	42,33,24	304,307,363	36,55,27	298	149	0.515181905052	0.8528916695939853	0.786,0.815,0.872	0.809,0.736,0.871	0.019
31	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258833	72258961	31	390,455,485	79,70,86	424,537,742	92,163,160	298	149	0.00984999375831	0.051515323979050696	0.712,0.765,0.738	0.697,0.622,0.699	0.066
32	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258833	72258961	32	104,174,193	191,286,271	115,170,197	313,329,407	298	149	0.00640544491227	0.037889879116755856	0.214,0.233,0.263	0.155,0.205,0.195	0.052
33	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258846	72258961	33	406,479,489	11,9,5	432,556,768	6,5,8	298	149	0.0981808454207	0.27908526708589804	0.949,0.964,0.98	0.973,0.982,0.98	-0.014
