"event_id","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","upstreamES","upstreamEE","downstreamES","downstreamEE","FDR","IncLevelDifference"
"chr1:7190417-7190839|up:7159143-7159440|down:7217860-7217963","Pcmtd1","chr1","+",7190417,7190839,422,7159143,7159440,7217860,7217963,0.000253358463558074,-0.136
"chr1:9634047-9634096|up:9630704-9632003|down:9689774-9689864","2610203C22Rik","chr1","-",9634047,9634096,49,9630704,9632003,9689774,9689864,0.000241444484792389,0.11
"chr1:16151053-16151217|up:16148791-16148924|down:16163197-16163549","4930444P10Rik","chr1","-",16151053,16151217,164,16148791,16148924,16163197,16163549,1.21540517560342e-07,0.619
"chr1:16301226-16301315|up:16298897-16300090|down:16415927-16416235","Stau2","chr1","-",16301226,16301315,89,16298897,16300090,16415927,16416235,5.94498010767572e-07,-0.25
"chr1:24125600-24125692|up:24106979-24107059|down:24137711-24137800","Fam135a","chr1","-",24125600,24125692,92,24106979,24107059,24137711,24137800,0.00660533570820814,0.123
"chr1:25151257-25151356|up:25150772-25150944|down:25156369-25156455","Adgrb3","chr1","-",25151257,25151356,99,25150772,25150944,25156369,25156455,0.00915992216321967,-0.167
"chr1:34335822-34335840|up:34334542-34334617|down:34338801-34338919","Dst","chr1","+",34335822,34335840,18,34334542,34334617,34338801,34338919,0,-0.162
"chr1:36468503-36468536|up:36467380-36467542|down:36478689-36478807","Lman2l","chr1","-",36468503,36468536,33,36467380,36467542,36478689,36478807,0.0317585911897278,0.157
"chr1:36595883-36596166|up:36595012-36595161|down:36596440-36596607","Sema4c","chr1","-",36595883,36596166,283,36595012,36595161,36596440,36596607,0.0237669959128762,-0.276
"chr1:37422419-37422452|up:37419002-37419141|down:37426778-37426951","Inpp4a","chr1","+",37422419,37422452,33,37419002,37419141,37426778,37426951,0.000369519441417414,0.17
"chr1:37422419-37422452|up:37419002-37419258|down:37426778-37426951","Inpp4a","chr1","+",37422419,37422452,33,37419002,37419258,37426778,37426951,0.000597907691344336,0.191
"chr1:37932023-37932104|up:37929557-37929665|down:37934410-37934491","Mrpl30","chr1","+",37932023,37932104,81,37929557,37929665,37934410,37934491,0.000251829402486045,0.162
"chr1:38147484-38147548|up:38137933-38138102|down:38167332-38167396","Rev1","chr1","-",38147484,38147548,64,38137933,38138102,38167332,38167396,0.008832874419781,-0.111
"chr1:38167332-38167396|up:38147484-38147548|down:38168542-38168882","Rev1","chr1","-",38167332,38167396,64,38147484,38147548,38168542,38168882,1.34330264450984e-05,0.109
"chr1:40040589-40040751|up:40039690-40039909|down:40042916-40043147","Map4k4","chr1","+",40040589,40040751,162,40039690,40039909,40042916,40043147,0,-0.137
"chr1:53360654-53360726|up:53360238-53360369|down:53362325-53362429","Osgepl1","chr1","+",53360654,53360726,72,53360238,53360369,53362325,53362429,0.0275956452853682,-0.143
"chr1:60141785-60141943|up:60137405-60137466|down:60144469-60144593","Carf","chr1","+",60141785,60141943,158,60137405,60137466,60144469,60144593,0.023493222015319,0.158
"chr1:64597661-64597808|up:64571955-64572179|down:64605375-64605476","Creb1","chr1","+",64597661,64597808,147,64571955,64572179,64605375,64605476,8.89599809892104e-05,-0.143
"chr1:65231689-65231725|up:65231303-65231453|down:65234814-65234933","Pikfyve","chr1","+",65231689,65231725,36,65231303,65231453,65234814,65234933,0.0274938260164556,0.167
"chr1:66470685-66470778|up:66464355-66464687|down:66472672-66472754","Map2","chr1","+",66470685,66470778,93,66464355,66464687,66472672,66472754,1.48265020890512e-11,-0.227
"chr1:66645610-66645814|up:66640213-66640379|down:66647550-66647651","Unc80","chr1","+",66645610,66645814,204,66640213,66640379,66647550,66647651,0.0095133670099723,-0.105
"chr1:66740775-66740795|up:66740065-66740176|down:66745604-66745684","Rpe","chr1","+",66740775,66740795,20,66740065,66740176,66745604,66745684,0.042373525672066,0.122
"chr1:71106266-71106347|up:71104637-71104810|down:71113701-71114639","Bard1","chr1","-",71106266,71106347,81,71104637,71104810,71113701,71114639,3.94431111417342e-06,0.153
"chr1:72315324-72315490|up:72314044-72314126|down:72316445-72316579","Pecr","chr1","-",72315324,72315490,166,72314044,72314126,72316445,72316579,1.46485293031431e-13,-0.11
"chr1:74499073-74499139|up:74495237-74495379|down:74500724-74500889","Usp37","chr1","-",74499073,74499139,66,74495237,74495379,74500724,74500889,0.000399232129861917,-0.162
"chr1:74957524-74957653|up:74956308-74956534|down:74958342-74958501","Cfap65","chr1","-",74957524,74957653,129,74956308,74956534,74958342,74958501,0.000630664384618119,-0.177
"chr1:75413637-75413678|up:75412789-75412956|down:75415485-75415672","Gmppa","chr1","+",75413637,75413678,41,75412789,75412956,75415485,75415672,0.0136940342252428,0.214
"chr1:75466126-75466393|up:75465232-75465345|down:75467439-75467712","Obsl1","chr1","-",75466126,75466393,267,75465232,75465345,75467439,75467712,0.0437120336292298,-0.13
"chr1:75468710-75468986|up:75467831-75468101|down:75469149-75469437","Obsl1","chr1","-",75468710,75468986,276,75467831,75468101,75469149,75469437,0.00419885573854613,-0.134
"chr1:82723244-82723277|up:82713139-82713228|down:82724803-82724863","Mff","chr1","+",82723244,82723277,33,82713139,82713228,82724803,82724863,0.00516888395528102,0.128
"chr1:87771833-87771843|up:87768513-87768569|down:87772636-87772880","Sag","chr1","+",87771833,87771843,10,87768513,87768569,87772636,87772880,7.25963878699962e-12,-0.884
"chr1:87896117-87896171|up:87895231-87895320|down:87903529-87903653","Usp40","chr1","-",87896117,87896171,54,87895231,87895320,87903529,87903653,0.0191079803946637,0.224
"chr1:87901798-87901856|up:87895231-87895320|down:87903529-87903653","Usp40","chr1","-",87901798,87901856,58,87895231,87895320,87903529,87903653,4.2733933794174e-05,0.45
"chr1:87901798-87901856|up:87896117-87896171|down:87903529-87903653","Usp40","chr1","-",87901798,87901856,58,87896117,87896171,87903529,87903653,0.0106392751206176,0.185
"chr1:89751578-89751656|up:89694027-89694186|down:89762155-89762310","Agap1","chr1","+",89751578,89751656,78,89694027,89694186,89762155,89762310,8.28312764529383e-05,-0.145
"chr1:91036301-91036394|up:91035019-91035112|down:91038076-91038169","Lrrfip1","chr1","+",91036301,91036394,93,91035019,91035112,91038076,91038169,0.0124785208230565,0.273
"chr1:91036301-91036394|up:91035019-91035112|down:91039877-91040019","Lrrfip1","chr1","+",91036301,91036394,93,91035019,91035112,91039877,91040019,0.00413963031152834,0.102
"chr1:91181481-91181549|up:91178032-91178159|down:91181936-91182115","Ube2f","chr1","+",91181481,91181549,68,91178032,91178159,91181936,91182115,0.000169952569417112,0.134
"chr1:92573405-92573598|up:92573055-92573148|down:92576472-92576563","Otos","chr1","-",92573405,92573598,193,92573055,92573148,92576472,92576563,0.00445260978868547,-0.163
"chr1:93407185-93407321|up:93406756-93406790|down:93416849-93416876","Septin2","chr1","+",93407185,93407321,136,93406756,93406790,93416849,93416876,0.0124404949029807,-0.103
"chr1:93407185-93407321|up:93406756-93406790|down:93418878-93418999","Septin2","chr1","+",93407185,93407321,136,93406756,93406790,93418878,93418999,0.00195485155236755,-0.349
"chr1:93407185-93407321|up:93406829-93406902|down:93416845-93416876","Septin2","chr1","+",93407185,93407321,136,93406829,93406902,93416845,93416876,0.0178554023221596,-0.173
"chr1:93407185-93407321|up:93406829-93406902|down:93416849-93416876","Septin2","chr1","+",93407185,93407321,136,93406829,93406902,93416849,93416876,0.000987228379350144,-0.334
"chr1:93760317-93760511|up:93757478-93757618|down:93763008-93763177","D2hgdh","chr1","+",93760317,93760511,194,93757478,93757618,93763008,93763177,0.000129992332700237,-0.169
"chr1:118459707-118459815|up:118453026-118453185|down:118463864-118463927","Clasp1","chr1","+",118459707,118459815,108,118453026,118453185,118463864,118463927,7.84067209058939e-05,0.117
"chr1:118463864-118463927|up:118459707-118459815|down:118466995-118467099","Clasp1","chr1","+",118463864,118463927,63,118459707,118459815,118466995,118467099,0.0197789675417942,0.148
"chr1:119633884-119634043|up:119620479-119620639|down:119643676-119643745","Ptpn4","chr1","-",119633884,119634043,159,119620479,119620639,119643676,119643745,0.000244615962471892,-0.108
"chr1:120092494-120092612|up:120088335-120088386|down:120093864-120093902","3110009E18Rik","chr1","+",120092494,120092612,118,120088335,120088386,120093864,120093902,0.000645570877316035,-0.128
"chr1:120099130-120099212|up:120093864-120093902|down:120115770-120115919","3110009E18Rik","chr1","+",120099130,120099212,82,120093864,120093902,120115770,120115919,0.0026164502100624,0.142
"chr1:133202530-133202617|up:133201595-133202112|down:133208076-133208145","Plekha6","chr1","+",133202530,133202617,87,133201595,133202112,133208076,133208145,1.05378792029971e-06,0.225
