"event_id","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","upstreamES","upstreamEE","downstreamES","downstreamEE","FDR","IncLevelDifference"
"chr1:7190417-7190839|up:7159143-7159440|down:7217860-7217963","Pcmtd1","chr1","+",7190417,7190839,422,7159143,7159440,7217860,7217963,4.97860633454228e-05,-0.16
"chr1:9634047-9634096|up:9630704-9632003|down:9689774-9689864","2610203C22Rik","chr1","-",9634047,9634096,49,9630704,9632003,9689774,9689864,0.000134592748575032,0.117
"chr1:16301226-16301315|up:16298897-16300090|down:16415927-16416235","Stau2","chr1","-",16301226,16301315,89,16298897,16300090,16415927,16416235,0.00747971435750785,-0.106
"chr1:21536606-21536633|up:21527627-21527848|down:21539693-21539788","Kcnq5","chr1","-",21536606,21536633,27,21527627,21527848,21539693,21539788,0.016825005150273,0.353
"chr1:36468503-36468536|up:36467380-36467542|down:36477830-36477913","Lman2l","chr1","-",36468503,36468536,33,36467380,36467542,36477830,36477913,0,0.204
"chr1:36468503-36468536|up:36467380-36467542|down:36478689-36478807","Lman2l","chr1","-",36468503,36468536,33,36467380,36467542,36478689,36478807,7.43889692715926e-06,0.228
"chr1:37413355-37413370|up:37411391-37411500|down:37416658-37416842","Inpp4a","chr1","+",37413355,37413370,15,37411391,37411500,37416658,37416842,0.000806405267909375,0.181
"chr1:37422419-37422452|up:37419002-37419141|down:37426778-37426951","Inpp4a","chr1","+",37422419,37422452,33,37419002,37419141,37426778,37426951,6.96191111593124e-08,0.23
"chr1:38147484-38147548|up:38137933-38138102|down:38168542-38168743","Rev1","chr1","-",38147484,38147548,64,38137933,38138102,38168542,38168743,6.57950000471446e-05,-0.111
"chr1:40042922-40043147|up:40040589-40040751|down:40043966-40044070","Map4k4","chr1","+",40042922,40043147,225,40040589,40040751,40043966,40044070,2.47459982056176e-06,0.111
"chr1:53360654-53360726|up:53360238-53360369|down:53362325-53362429","Osgepl1","chr1","+",53360654,53360726,72,53360238,53360369,53362325,53362429,0.00482744095802014,-0.169
"chr1:58573643-58573811|up:58566179-58569418|down:58574548-58574708","Hycc2","chr1","-",58573643,58573811,168,58566179,58569418,58574548,58574708,0.00583729528933631,-0.273
"chr1:58843157-58843273|up:58841811-58841852|down:58863073-58863406","Casp8","chr1","+",58843157,58843273,116,58841811,58841852,58863073,58863406,0.0014980270218957,0.101
"chr1:65220786-65220857|up:65214389-65214527|down:65225367-65225618","Idh1","chr1","-",65220786,65220857,71,65214389,65214527,65225367,65225618,0.0136083580405798,-0.307
"chr1:66470685-66470778|up:66464355-66464687|down:66472672-66472754","Map2","chr1","+",66470685,66470778,93,66464355,66464687,66472672,66472754,1.27542796908975e-08,-0.2
"chr1:72315324-72315490|up:72314044-72314126|down:72316445-72316579","Pecr","chr1","-",72315324,72315490,166,72314044,72314126,72316445,72316579,0,-0.124
"chr1:73567883-73568093|up:73564998-73565107|down:73568831-73568949","C530043A13Rik","chr1","-",73567883,73568093,210,73564998,73565107,73568831,73568949,0.00455989691911518,0.316
"chr1:74326250-74326367|up:74325000-74325169|down:74386543-74386659","Pnkd","chr1","+",74326250,74326367,117,74325000,74325169,74386543,74386659,2.07566263647578e-07,0.117
"chr1:74957524-74957653|up:74956308-74956534|down:74958342-74958501","Cfap65","chr1","-",74957524,74957653,129,74956308,74956534,74958342,74958501,0.000669189202688561,-0.196
"chr1:74957992-74958143|up:74957524-74957653|down:74958342-74958501","Cfap65","chr1","-",74957992,74958143,151,74957524,74957653,74958342,74958501,0.00333735927862648,0.106
"chr1:75413637-75413678|up:75412789-75412956|down:75415485-75415672","Gmppa","chr1","+",75413637,75413678,41,75412789,75412956,75415485,75415672,0.0195269219288458,0.214
"chr1:82723244-82723277|up:82713139-82713228|down:82724803-82724863","Mff","chr1","+",82723244,82723277,33,82713139,82713228,82724803,82724863,0.00576373073023083,0.146
"chr1:85570923-85571067|up:85570262-85570368|down:85572304-85572758","Sp140","chr1","+",85570923,85571067,144,85570262,85570368,85572304,85572758,0.0326254926426773,-0.183
"chr1:87301718-87301833|up:87282125-87282208|down:87331388-87331568","Gigyf2","chr1","+",87301718,87301833,115,87282125,87282208,87331388,87331568,0.0251771867460651,0.202
"chr1:87895231-87895320|up:87894905-87894992|down:87903529-87903620","Usp40","chr1","-",87895231,87895320,89,87894905,87894992,87903529,87903620,7.82608919974478e-06,-0.197
"chr1:87896117-87896171|up:87894905-87894992|down:87903529-87903653","Usp40","chr1","-",87896117,87896171,54,87894905,87894992,87903529,87903653,0.00102158121601864,-0.562
"chr1:87896117-87896171|up:87895231-87895320|down:87903529-87903653","Usp40","chr1","-",87896117,87896171,54,87895231,87895320,87903529,87903653,0.00276681893539065,0.264
"chr1:91181481-91181549|up:91178032-91178159|down:91181936-91182115","Ube2f","chr1","+",91181481,91181549,68,91178032,91178159,91181936,91182115,0.00125459239049319,0.159
"chr1:92019453-92019540|up:91957771-91957918|down:92075977-92076216","Hdac4","chr1","-",92019453,92019540,87,91957771,91957918,92075977,92076216,0.00309807723083696,-0.211
"chr1:93407185-93407321|up:93406829-93406902|down:93416845-93416876","Septin2","chr1","+",93407185,93407321,136,93406829,93406902,93416845,93416876,0.0418270079576347,-0.169
"chr1:98524972-98525118|up:98517241-98517382|down:98532855-98532912","Gm7967","chr1","+",98524972,98525118,146,98517241,98517382,98532855,98532912,1.00228474147005e-05,0.119
"chr1:118459707-118459815|up:118453026-118453185|down:118466995-118467099","Clasp1","chr1","+",118459707,118459815,108,118453026,118453185,118466995,118467099,3.42019957341774e-06,0.2
"chr1:118463864-118463927|up:118453026-118453185|down:118466995-118467099","Clasp1","chr1","+",118463864,118463927,63,118453026,118453185,118466995,118467099,0.00698114473783677,0.155
"chr1:118463864-118463927|up:118459707-118459815|down:118466995-118467099","Clasp1","chr1","+",118463864,118463927,63,118459707,118459815,118466995,118467099,0.0013120994422599,0.197
"chr1:120092494-120092612|up:120088335-120088386|down:120093864-120093902","3110009E18Rik","chr1","+",120092494,120092612,118,120088335,120088386,120093864,120093902,0.0185740824326234,-0.105
"chr1:127869330-127869351|up:127866782-127866885|down:127870110-127870347","Rab3gap1","chr1","+",127869330,127869351,21,127866782,127866885,127870110,127870347,7.9279837253698e-07,0.191
"chr1:133202530-133202617|up:133201595-133202112|down:133208076-133208145","Plekha6","chr1","+",133202530,133202617,87,133201595,133202112,133208076,133208145,0.000611157526358838,0.174
"chr1:133202530-133202617|up:133201595-133202112|down:133209520-133209549","Plekha6","chr1","+",133202530,133202617,87,133201595,133202112,133209520,133209549,8.11253084908894e-12,0.306
"chr1:133203549-133203603|up:133201595-133202112|down:133207110-133207191","Plekha6","chr1","+",133203549,133203603,54,133201595,133202112,133207110,133207191,0.0392796815597014,0.337
"chr1:133203549-133203603|up:133202530-133202617|down:133208076-133208145","Plekha6","chr1","+",133203549,133203603,54,133202530,133202617,133208076,133208145,0.0308872235256755,0.158
"chr1:133207110-133207191|up:133201595-133202112|down:133208076-133208145","Plekha6","chr1","+",133207110,133207191,81,133201595,133202112,133208076,133208145,0.00109266785888335,0.104
"chr1:133208076-133208145|up:133201595-133202112|down:133209520-133209549","Plekha6","chr1","+",133208076,133208145,69,133201595,133202112,133209520,133209549,9.20097835381683e-05,0.141
"chr1:133213984-133214134|up:133212984-133213124|down:133215207-133215337","Plekha6","chr1","+",133213984,133214134,150,133212984,133213124,133215207,133215337,0.000154721148876484,0.117
"chr1:133583082-133583136|up:133582057-133582176|down:133588993-133589098","Zc3h11a","chr1","-",133583082,133583136,54,133582057,133582176,133588993,133589098,0.00107132927014679,-0.11
"chr1:136225021-136225054|up:136221017-136221159|down:136225479-136225563","Camsap2","chr1","-",136225021,136225054,33,136221017,136221159,136225479,136225563,4.82489615225967e-06,0.246
"chr1:138950842-138950886|up:138893903-138893968|down:138967737-138967787","Dennd1b","chr1","+",138950842,138950886,44,138893903,138893968,138967737,138967787,0.00111649201585084,0.187
"chr1:151688504-151688519|up:151687269-151687455|down:151694060-151694730","Edem3","chr1","+",151688504,151688519,15,151687269,151687455,151694060,151694730,0.00404923577228385,0.115
"chr1:151688504-151688552|up:151687269-151687455|down:151694060-151694686","Edem3","chr1","+",151688504,151688552,48,151687269,151687455,151694060,151694686,0.000635778430255848,0.105
"chr1:152843667-152843727|up:152831024-152831078|down:152949542-152949631","Nmnat2","chr1","+",152843667,152843727,60,152831024,152831078,152949542,152949631,0.000228431870077134,-0.407
