"event_id","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","upstreamES","upstreamEE","downstreamES","downstreamEE","FDR","IncLevelDifference"
"chr1:21536606-21536633|up:21527627-21527848|down:21539693-21539788","Kcnq5","chr1","-",21536606,21536633,27,21527627,21527848,21539693,21539788,0.016825005150273,0.353
"chr1:37413355-37413370|up:37411391-37411500|down:37416658-37416842","Inpp4a","chr1","+",37413355,37413370,15,37411391,37411500,37416658,37416842,0.000806405267909375,0.181
"chr1:127869330-127869351|up:127866782-127866885|down:127870110-127870347","Rab3gap1","chr1","+",127869330,127869351,21,127866782,127866885,127870110,127870347,7.9279837253698e-07,0.191
"chr1:151688504-151688519|up:151687269-151687455|down:151694060-151694730","Edem3","chr1","+",151688504,151688519,15,151687269,151687455,151694060,151694730,0.00404923577228385,0.115
"chr10:69765276-69765288|up:69763524-69763648|down:69768223-69768326","Ank3","chr10","+",69765276,69765288,12,69763524,69763648,69768223,69768326,0.00548380560396285,0.251
"chr10:69816653-69816680|up:69816101-69816224|down:69817945-69818027","Ank3","chr10","+",69816653,69816680,27,69816101,69816224,69817945,69818027,0.000174189054449646,0.187
"chr10:76107209-76107239|up:76106229-76106291|down:76108366-76108537","Dip2a","chr10","-",76107209,76107239,30,76106229,76106291,76108366,76108537,0.000735208041510314,0.168
"chr10:122858990-122858993|up:122858738-122858849|down:122859814-122859916","Mon2","chr10","-",122858990,122858993,3,122858738,122858849,122859814,122859916,0.00513475016025838,0.104
"chr10:127132585-127132609|up:127132409-127132502|down:127132741-127132813","Mars1","chr10","-",127132585,127132609,24,127132409,127132502,127132741,127132813,8.84120397101463e-07,-0.123
"chr11:5041459-5041477|up:5037959-5038146|down:5041858-5041982","Ewsr1","chr11","-",5041459,5041477,18,5037959,5038146,5041858,5041982,0,0.222
"chr11:31868800-31868824|up:31839857-31839939|down:31870408-31870582","Cpeb4","chr11","+",31868800,31868824,24,31839857,31839939,31870408,31870582,1.13081564246697e-05,0.103
"chr11:31868800-31868824|up:31858824-31858875|down:31870408-31870582","Cpeb4","chr11","+",31868800,31868824,24,31858824,31858875,31870408,31870582,3.91008884983753e-05,0.164
"chr11:54542574-54542589|up:54540007-54540165|down:54548071-54548312","Rapgef6","chr11","+",54542574,54542589,15,54540007,54540165,54548071,54548312,0.000564883834454027,0.211
"chr11:93970024-93970036|up:93962390-93962512|down:93971565-93971580","Spag9","chr11","+",93970024,93970036,12,93962390,93962512,93971565,93971580,0.00595332956613346,0.196
"chr11:93970024-93970036|up:93962390-93962512|down:93972165-93972223","Spag9","chr11","+",93970024,93970036,12,93962390,93962512,93972165,93972223,0.00021566047063013,0.1
"chr11:97382469-97382492|up:97381959-97382056|down:97383876-97383908","Arhgap23","chr11","+",97382469,97382492,23,97381959,97382056,97383876,97383908,8.00498907670246e-13,0.228
"chr11:106071780-106071809|up:106064504-106064607|down:106077950-106078006","Strada","chr11","-",106071780,106071809,29,106064504,106064607,106077950,106078006,0.000900127417551208,0.157
"chr11:119999292-119999316|up:119997259-119997436|down:120000257-120000362","Slc38a10","chr11","-",119999292,119999316,24,119997259,119997436,120000257,120000362,0,0.174
"chr12:40844595-40844622|up:40840074-40840160|down:40844766-40844862","Dock4","chr12","+",40844595,40844622,27,40840074,40840160,40844766,40844862,0,0.164
"chr12:77008036-77008063|up:76999942-77000050|down:77008763-77008799","Max","chr12","-",77008036,77008063,27,76999942,77000050,77008763,77008799,3.18154548488872e-06,0.148
"chr12:88817048-88817078|up:88799322-88799340|down:89153791-89154093","Nrxn3","chr12","+",88817048,88817078,30,88799322,88799340,89153791,89154093,0.00398410740864226,-0.277
"chr12:89321222-89321249|up:89315015-89315219|down:89469787-89469907","Nrxn3","chr12","+",89321222,89321249,27,89315015,89315219,89469787,89469907,1.5788203606732e-08,-0.789
"chr12:103016153-103016182|up:103013916-103013957|down:103025577-103025687","Unc79","chr12","+",103016153,103016182,29,103013916,103013957,103025577,103025687,5.84596770543621e-05,0.285
"chr13:11905719-11905734|up:11900349-11900424|down:11933196-11933301","Ryr2","chr13","-",11905719,11905734,15,11900349,11900424,11933196,11933301,0.0038321614029679,0.338
"chr13:38167070-38167085|up:38163718-38163782|down:38167368-38167462","Ssr1","chr13","-",38167070,38167085,15,38163718,38163782,38167368,38167462,2.10734500767394e-08,0.156
