ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000121343"	"Gm21679"	chrY	-	29608697	29608796	29608697	29608791	29610808	29610908
1	"ENSMUSG00000121343"	"Gm21679"	chrY	-	29638606	29638741	29638606	29638738	29639922	29639954
2	"ENSMUSG00000069045"	"Ddx3y"	chrY	-	1282900	1282968	1282900	1282948	1284321	1284382
3	"ENSMUSG00000035299"	"Mid1"	chrX	+	168768892	168769093	168768931	168769093	168767994	168768138
4	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165169947	165171984	165166930	165166996
5	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963348	164963805	164963441	164963805	164961787	164961826
6	"ENSMUSG00000040855"	"Reps2"	chrX	-	161297274	161297347	161297274	161297344	161301324	161301419
7	"ENSMUSG00000040855"	"Reps2"	chrX	-	161335538	161335665	161335538	161335662	161337792	161337941
8	"ENSMUSG00000031295"	"Phka2"	chrX	+	159373161	159373364	159373163	159373364	159371960	159372014
9	"ENSMUSG00000025283"	"Sat1"	chrX	-	153996892	153996954	153996892	153996933	153997028	153997130
10	"ENSMUSG00000025260"	"Hsd17b10"	chrX	+	150786618	150786777	150786648	150786777	150786356	150786521
11	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150583878	150583942
12	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150584309	150584362
13	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150586657	150586798
14	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150587441	150587536
15	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150681439	150681657	150681442	150681657	150680182	150680249
16	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150691723	150691952	150691726	150691952	150690271	150690440
17	"ENSMUSG00000025271"	"Pfkfb1"	chrX	+	149372791	149373080	149372948	149373080	149371940	149372040
18	"ENSMUSG00000025270"	"Alas2"	chrX	+	149335954	149336077	149335999	149336077	149335144	149335340
19	"ENSMUSG00000031283"	"Chrdl1"	chrX	-	142110917	142111063	142110917	142111060	142148892	142148986
20	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134614	141134374	141134611	141143382	141143432
21	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134904	141134374	141134611	141143382	141143432
22	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134904	141134374	141134614	141143382	141143432
23	"ENSMUSG00000031278"	"Acsl4"	chrX	-	141134374	141134614	141134374	141134611	141173300	141173500
24	"ENSMUSG00000042498"	"Radx"	chrX	+	138413891	138414056	138413894	138414056	138412293	138412398
25	"ENSMUSG00000046432"	"Bex3"	chrX	+	135172011	135172727	135172016	135172727	135171558	135171631
26	"ENSMUSG00000009941"	"Nxf2"	chrX	-	133850435	133850633	133850435	133850615	133851095	133851168
27	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132970593	132970656
28	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132973163	132973223
29	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132973426	132973513
30	"ENSMUSG00000051323"	"Pcdh19"	chrX	-	132526017	132526190	132526017	132526187	132533643	132533702
31	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	110309904	110309981	110309904	110309966	110314374	110314536
32	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	110372546	110372798	110372546	110372795	110372967	110373152
33	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	110372546	110372798	110372546	110372795	110396365	110396497
34	"ENSMUSG00000087620"	"5330434G04Rik"	chrX	-	104433475	104433549	104433475	104433533	104435081	104435382
35	"ENSMUSG00000031323"	"Dmrtc1a"	chrX	-	101946827	101947452	101946827	101947369	101948355	101948485
36	"ENSMUSG00000031314"	"Taf1"	chrX	+	100584365	100584607	100584428	100584607	100582673	100582793
37	"ENSMUSG00000085553"	"Gm14808"	chrX	+	98503085	98503299	98503182	98503299	98502659	98502762
38	"ENSMUSG00000085553"	"Gm14808"	chrX	+	98504247	98504886	98504652	98504886	98503182	98503299
39	"ENSMUSG00000044206"	"Vsig4"	chrX	-	95312660	95312790	95312660	95312738	95313161	95313218
40	"ENSMUSG00000078122"	"F630028O10Rik"	chrX	+	95284643	95287252	95286376	95287252	95284018	95284119
41	"ENSMUSG00000035062"	"Zc4h2"	chrX	-	94685769	94685964	94685769	94685932	94686913	94687086
42	"ENSMUSG00000035062"	"Zc4h2"	chrX	-	94686913	94687086	94686913	94687065	94688912	94689084
43	"ENSMUSG00000025151"	"Maged1"	chrX	-	93579081	93579283	93579081	93579282	93579465	93579851
44	"ENSMUSG00000035476"	"Tab3"	chrX	+	84652995	84653190	84652998	84653190	84619155	84619216
45	"ENSMUSG00000035476"	"Tab3"	chrX	+	84652995	84653190	84652998	84653190	84637257	84637360
46	"ENSMUSG00000087396"	"4933407K13Rik"	chrX	-	74774625	74774788	74774625	74774783	74779698	74779861
47	"ENSMUSG00000087396"	"4933407K13Rik"	chrX	-	74779698	74779861	74779698	74779856	74785421	74785584
48	"ENSMUSG00000087396"	"4933407K13Rik"	chrX	-	74785421	74785584	74785421	74785579	74790282	74790445
49	"ENSMUSG00000087396"	"4933407K13Rik"	chrX	-	74795130	74795293	74795130	74795288	74798971	74799134
50	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73353995	73354140	73354085	73354140	73353568	73353740
51	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331624	73331705	73331627	73331705	73327253	73327299
52	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73332056	73332119	73331624	73331705
53	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332053	73332119	73332056	73332119	73331783	73331825
54	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332534	73332625	73332589	73332625	73332267	73332320
55	"ENSMUSG00000031392"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73061506	73061623
56	"ENSMUSG00000031392"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73061735	73061972
57	"ENSMUSG00000031392"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73063505	73063571
58	"ENSMUSG00000031392"	"Irak1"	chrX	-	73066078	73066270	73066078	73066267	73066454	73066558
59	"ENSMUSG00000031392"	"Irak1"	chrX	-	73066454	73066671	73066454	73066558	73066971	73067139
60	"ENSMUSG00000031385"	"Plxnb3"	chrX	+	72802128	72803189	72803061	72803189	72800695	72800756
61	"ENSMUSG00000019558"	"Slc6a8"	chrX	+	72722669	72722794	72722699	72722794	72722471	72722575
62	"ENSMUSG00000031375"	"Bgn"	chrX	+	72536529	72536662	72536568	72536662	72536328	72536439
63	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258833	72258961	72258846	72258961	72258379	72258426
64	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258833	72258961	72258846	72258961	72258379	72258462
65	"ENSMUSG00000015217"	"Hmgb3"	chrX	+	70601658	70601813	70601662	70601813	70599533	70599796
66	"ENSMUSG00000015217"	"Hmgb3"	chrX	+	70601658	70601813	70601662	70601813	70599595	70599843
67	"ENSMUSG00000015217"	"Hmgb3"	chrX	+	70601658	70601813	70601662	70601813	70600551	70600714
68	"ENSMUSG00000071753"	"Cdr1os"	chrX	+	60178318	60178402	60178326	60178402	60176971	60177109
69	"ENSMUSG00000062070"	"Pgk1"	chrX	+	105243722	105243942	105243762	105243942	105243252	105243367
70	"ENSMUSG00000054626"	"Xlr"	chrX	-	52798109	52798235	52798109	52798187	52799590	52799673
71	"ENSMUSG00000054626"	"Xlr"	chrX	-	52798109	52798235	52798109	52798187	52799598	52799663
72	"ENSMUSG00000055110"	"A630012P03Rik"	chrX	+	51683041	51683169	51683043	51683169	51674454	51674536
73	"ENSMUSG00000036916"	"Zfp280c"	chrX	-	47667256	47667433	47667256	47667406	47677579	47677626
74	"ENSMUSG00000036916"	"Zfp280c"	chrX	-	47667256	47667433	47667256	47667406	47680549	47680638
75	"ENSMUSG00000031095"	"Cul4b"	chrX	-	37634372	37634493	37634372	37634477	37635568	37635761
76	"ENSMUSG00000016308"	"Ube2a"	chrX	+	36146251	36146340	36146260	36146340	36145309	36145399
77	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926767	20928132	20928242
78	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926767	20928176	20928291
79	"ENSMUSG00000001127"	"Araf"	chrX	+	20724980	20725112	20725004	20725112	20724632	20724751
80	"ENSMUSG00000031066"	"Usp11"	chrX	+	20578564	20579221	20579075	20579221	20578268	20578399
81	"ENSMUSG00000040147"	"Maob"	chrX	-	16600312	16600462	16600312	16600356	16602210	16602352
82	"ENSMUSG00000008035"	"Mid1ip1"	chrX	+	10584222	10585929	10584225	10585929	10583628	10583943
83	"ENSMUSG00000031169"	"Porcn"	chrX	-	8070434	8070627	8070434	8070556	8071803	8071972
84	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8009485	8009571	8009485	8009568	8009896	8009990
85	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8009485	8009571	8009485	8009568	8010811	8010918
86	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8010086	8010918	8010086	8010186	8011193	8011311
87	"ENSMUSG00000031166"	"Wdr13"	chrX	-	7997623	7997864	7997623	7997830	7998525	7998605
88	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7755850	7756002	7755885	7756002	7751987	7752170
89	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7758378	7759106	7758968	7759106	7755850	7756002
90	"ENSMUSG00000031154"	"Otud5"	chrX	+	7733753	7734062	7733905	7734062	7722542	7722636
91	"ENSMUSG00000097785"	"B230217O12Rik"	chr19	-	57313027	57313229	57313027	57313225	57348445	57349301
92	"ENSMUSG00000024979"	"Tectb"	chr19	+	55172364	55172467	55172394	55172467	55172148	55172291
93	"ENSMUSG00000024978"	"Gpam"	chr19	-	55063973	55064111	55063973	55064107	55064722	55064800
94	"ENSMUSG00000025024"	"Smndc1"	chr19	-	53371987	53372166	53371987	53372149	53372884	53373027
95	"ENSMUSG00000025231"	"Sufu"	chr19	+	46441597	46441754	46441600	46441754	46439329	46439402
96	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46256829	46256955	46256858	46256955	46256431	46256555
97	"ENSMUSG00000025200"	"Cwf19l1"	chr19	-	44120524	44120603	44120524	44120587	44121438	44121523
98	"ENSMUSG00000025193"	"Cutc"	chr19	+	43751311	43751445	43751341	43751445	43749127	43749163
99	"ENSMUSG00000025159"	"Mms19"	chr19	-	41933897	41934062	41933897	41934040	41934171	41934254
100	"ENSMUSG00000025159"	"Mms19"	chr19	-	41937893	41938276	41937893	41938020	41938419	41938522
101	"ENSMUSG00000025159"	"Mms19"	chr19	-	41939190	41939290	41939190	41939285	41940845	41941001
102	"ENSMUSG00000025159"	"Mms19"	chr19	-	41942355	41942456	41942355	41942453	41942904	41942986
103	"ENSMUSG00000025159"	"Mms19"	chr19	-	41943857	41944035	41943857	41944012	41944261	41944400
104	"ENSMUSG00000025159"	"Mms19"	chr19	-	41944261	41944422	41944261	41944400	41944947	41945025
105	"ENSMUSG00000025159"	"Mms19"	chr19	-	41951388	41951517	41951388	41951473	41951839	41951909
106	"ENSMUSG00000025159"	"Mms19"	chr19	-	41951839	41951909	41951839	41951897	41952301	41952376
107	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41927158	41927275	41927246	41927275	41926802	41926891
108	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41928038	41928172	41928126	41928172	41927246	41927275
109	"ENSMUSG00000025154"	"Arhgap19"	chr19	-	41769596	41769788	41769596	41769743	41770769	41770835
110	"ENSMUSG00000061132"	"Blnk"	chr19	-	40926094	40926171	40926094	40926162	40927810	40927842
111	"ENSMUSG00000036502"	"Tmem255a"	chrX	-	37313457	37314002	37313457	37313546	37321979	37322069
112	"ENSMUSG00000097740"	"E030044B06Rik"	chr19	+	40865180	40865317	40865279	40865317	40864742	40864842
113	"ENSMUSG00000092008"	"Cyp2c69"	chr19	-	39865949	39866110	39865949	39866039	39869536	39869686
114	"ENSMUSG00000120254"	"Gm32960"	chr19	+	38337698	38338203	38338086	38338203	38337531	38337603
115	"ENSMUSG00000067242"	"Lgi1"	chr19	+	38289155	38289325	38289164	38289325	38286376	38286448
116	"ENSMUSG00000024989"	"Cep55"	chr19	+	38061745	38062869	38061748	38062869	38060212	38060338
117	"ENSMUSG00000039652"	"Cpeb3"	chr19	-	37065819	37065987	37065819	37065960	37103731	37103788
118	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36578828	36578928	36578831	36578928	36576995	36577119
119	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36578828	36578928	36578869	36578928	36576995	36577119
120	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36578831	36578928	36578869	36578928	36576995	36577119
121	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36586655	36586823	36586664	36586823	36583785	36583874
122	"ENSMUSG00000024805"	"Pcgf5"	chr19	+	36414702	36414762	36414705	36414762	36414554	36414610
123	"ENSMUSG00000056078"	"Lipm"	chr19	+	34089308	34089507	34089407	34089507	34086956	34087074
124	"ENSMUSG00000024771"	"Lipk"	chr19	+	33997607	33997740	33997622	33997740	33996078	33996191
125	"ENSMUSG00000052595"	"A1cf"	chr19	+	31912027	31912233	31912051	31912233	31909824	31910098
126	"ENSMUSG00000024806"	"Mlana"	chr19	+	29681868	29682116	29682019	29682116	29677476	29677570
127	"ENSMUSG00000118038"	"Gm9895"	chr19	+	29046392	29046918	29046521	29046918	29044635	29044982
128	"ENSMUSG00000041360"	"Pum3"	chr19	-	27376281	27376504	27376281	27376500	27377078	27377221
129	"ENSMUSG00000041360"	"Pum3"	chr19	-	27397417	27397521	27397417	27397517	27398696	27398871
130	"ENSMUSG00000024924"	"Vldlr"	chr19	+	27218634	27218853	27218699	27218853	27217865	27218037
