ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205699	163205579	163205660	163210927	163211060	5	19,28,25	1,2,9	18,36,33	2,2,4	188	149	0.34851925436	0.9415136789888418	0.938,0.917,0.688	0.877,0.934,0.867	-0.045
6	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205660	163210927	163211060	6	443,528,527	1,2,9	590,665,655	2,2,4	471	149	0.148703419401	0.5382576230121442	0.993,0.988,0.949	0.989,0.991,0.981	-0.01
7	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205660	163210927	163211060	7	678,817,831	1,2,9	835,934,949	2,2,4	848	149	0.206933495412	0.6612820129964393	0.992,0.986,0.942	0.987,0.988,0.977	-0.011
8	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205660	163210927	163211060	8	676,788,842	1,2,9	827,933,924	2,2,4	1157	149	0.219760290516	0.6885961042469176	0.989,0.981,0.923	0.982,0.984,0.967	-0.013
9	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205699	163210927	163211060	9	424,500,504	0,0,2	572,629,622	0,0,0	432	149	1	1.0	1.0,1.0,0.989	1.0,1.0,1.0	-0.004
10	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205699	163210927	163211060	10	659,789,808	0,0,2	817,898,916	0,0,0	809	149	1	1.0	1.0,1.0,0.987	1.0,1.0,1.0	-0.004
11	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205699	163210927	163211060	11	657,760,819	0,0,2	809,897,891	0,0,0	1118	149	1	1.0	1.0,1.0,0.982	1.0,1.0,1.0	-0.006
12	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205982	163210927	163211060	12	261,328,330	26,39,26	268,297,334	23,28,40	526	149	0.915716906895	1.0	0.74,0.704,0.782	0.767,0.75,0.703	0.002
13	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205982	163210927	163211060	13	259,299,341	26,39,26	260,296,309	23,28,40	835	149	0.862378005442	1.0	0.64,0.578,0.701	0.669,0.654,0.58	0.005
14	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163206359	163210927	163211060	14	39,39,54	41,68,43	34,63,41	42,64,66	458	149	0.662085044568	1.0	0.236,0.157,0.29	0.208,0.243,0.168	0.021
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369950	159369774	159369945	159371960	159372014	15	16,9,18	123,118,92	10,7,8	108,143,151	154	149	0.00579032487197	0.050908471334091876	0.112,0.069,0.159	0.082,0.045,0.049	0.055
16	"ENSMUSG00000025283"	"Sat1"	chrX	-	153998115	153998680	153998596	153998680	153997028	153997130	16	174,170,162	744,687,668	144,186,209	597,739,825	630	149	0.776683064843	1.0	0.052,0.055,0.054	0.054,0.056,0.057	-0.002
17	"ENSMUSG00000041115"	"Iqsec2"	chrX	+	150999336	150999462	150999336	150999435	151001872	151001972	17	57,68,53	0,0,0	68,93,103	2,0,0	176	149	1	1.0	1.0,1.0,1.0	0.966,1.0,1.0	0.011
18	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150019529	150019723	150019529	150019630	150019888	150020032	18	0,0,0	32,19,54	0,2,0	49,23,43	242	149	1	1.0	0.0,0.0,0.0	0.0,0.051,0.0	-0.017
19	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150076805	150077037	150076805	150076896	150077417	150077548	19	12,6,4	3,10,24	2,15,8	25,28,26	290	149	0.182268665617	0.6085421577857903	0.673,0.236,0.079	0.039,0.216,0.137	0.199
20	"ENSMUSG00000031433"	"Rbm41"	chrX	-	138895860	138895977	138895921	138895977	138894660	138894853	20	136,166,148	1,1,3	199,267,289	2,0,9	210	149	0.324013252119	0.8932711656866555	0.99,0.992,0.972	0.986,1.0,0.958	0.003
29	"ENSMUSG00000025597"	"Klhl4"	chrX	+	113452698	113452885	113452698	113452867	113459049	113459274	29	12,5,2	12,29,33	3,1,1	2,3,5	167	149	0.834182779846	1.0	0.472,0.133,0.051	0.572,0.229,0.151	-0.099
30	"ENSMUSG00000025592"	"Dach2"	chrX	+	112724539	112724718	112724539	112724688	112724813	112724961	30	3,0,0	5,0,2	5,8,11	31,26,24	179	149	1	1.0	0.333,NA,0.0	0.118,0.204,0.276	-0.033
33	"ENSMUSG00000097571"	"Jpx"	chrX	+	102546465	102546798	102546465	102546536	102561916	102561963	33	19,22,19	1,2,0	18,42,38	0,1,4	411	149	0.417881592828	1.0	0.873,0.8,1.0	1.0,0.938,0.775	-0.013
35	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100124313	100124477	100123305	100123414	35	517,467,547	0,0,1	1191,1182,1168	1,0,4	756	149	1	1.0	1.0,1.0,0.991	0.996,1.0,0.983	0.004
37	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73352681	73352781	37	3926,4363,4546	0,0,0	3108,3799,3783	0,2,0	540	149	1	1.0	1.0,1.0,1.0	1.0,0.998,1.0	0.001
38	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353995	73354140	38	4552,4992,4624	0,0,2	3567,4721,4667	0,0,0	1108	149	1	1.0	1.0,1.0,0.997	1.0,1.0,1.0	-0.001
39	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73354243	73354298	39	1664,1863,1727	2,0,3	1349,1791,1669	0,0,0	1108	149	1	1.0	0.991,1.0,0.987	1.0,1.0,1.0	-0.007
40	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344929	73344970	73344929	73344964	73345541	73345627	40	1120,1037,1161	25,52,19	863,1384,1233	35,42,38	155	149	0.382094510637	0.9909921842049678	0.977,0.95,0.983	0.96,0.969,0.969	0.004
41	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73331945	73331783	73331825	73332053	73332119	41	335,344,374	46,33,55	212,247,221	36,36,64	269	149	0.0138621968783	0.09831176886708695	0.801,0.852,0.79	0.765,0.792,0.657	0.076
42	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332710	73332788	42	839,1148,1077	67,93,115	617,715,706	90,121,140	655	149	3.32963215888e-08	3.332898458390965e-06	0.74,0.737,0.681	0.609,0.573,0.534	0.147
43	"ENSMUSG00000031387"	"Renbp"	chrX	-	72973792	72973868	72973834	72973868	72973286	72973459	43	81,133,130	1,0,5	140,104,177	5,2,1	191	149	0.720413521443	1.0	0.984,1.0,0.953	0.956,0.976,0.993	0.004
44	"ENSMUSG00000031387"	"Renbp"	chrX	-	72973792	72973868	72973834	72973868	72973610	72973686	44	523,642,582	68,61,45	537,496,638	48,62,53	191	149	0.897994561029	1.0	0.857,0.891,0.91	0.897,0.862,0.904	-0.002
45	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72834259	72834432	45	2067,1910,2135	6,2,3	1925,2398,2469	7,0,0	699	149	1	1.0	0.987,0.995,0.993	0.983,1.0,1.0	-0.003
46	"ENSMUSG00000019558"	"Slc6a8"	chrX	+	72723524	72723662	72723524	72723653	72723737	72723840	46	126,165,129	1,2,0	198,285,229	2,0,1	158	149	1	1.0	0.992,0.987,1.0	0.989,1.0,0.995	-0.002
47	"ENSMUSG00000019558"	"Slc6a8"	chrX	+	72723524	72723677	72723524	72723653	72723737	72723840	47	1,8,0	1,2,0	1,0,5	2,0,1	173	149	1	1.0	0.463,0.775,NA	0.301,NA,0.812	0.062
49	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72257954	72258191	72257954	72258087	72258379	72258462	49	20,37,42	362,430,435	38,13,32	432,533,522	253	149	0.0382890377407	0.2062004764182088	0.032,0.048,0.054	0.049,0.014,0.035	0.012
50	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72258833	72258961	50	485,578,577	79,70,86	553,650,608	128,142,159	185	149	2.44460372645e-05	0.0007294168956758919	0.832,0.869,0.844	0.777,0.787,0.755	0.075
51	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72258846	72258961	51	313,312,325	11,9,5	303,364,361	2,19,9	185	149	0.672605247737	1.0	0.958,0.965,0.981	0.992,0.939,0.97	0.001
52	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72259646	72259715	52	297,293,307	2,5,1	286,340,338	8,0,0	185	149	0.967130570752	1.0	0.992,0.979,0.996	0.966,1.0,1.0	0.0
53	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258462	72258379	72258426	72261328	72261446	53	294,292,306	0,0,0	283,340,336	0,0,2	185	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.993	0.002
54	"ENSMUSG00000073131"	"Vma21"	chrX	+	70860395	70860673	70860395	70860546	70863673	70863783	54	24,12,24	543,548,607	34,17,37	720,702,670	276	149	0.33004843516	0.9048215067399306	0.023,0.012,0.021	0.025,0.013,0.029	-0.004
59	"ENSMUSG00000031099"	"Smarca1"	chrX	-	46975973	46976075	46975988	46976075	46972913	46973080	59	0,2,0	0,0,2	0,0,0	0,4,0	164	149	1	1.0	NA,1.0,0.0	NA,0.0,NA	0.5
63	"ENSMUSG00000031066"	"Usp11"	chrX	+	20582985	20584043	20582985	20583192	20584232	20584511	63	659,601,550	4,1,0	524,780,609	0,0,1	1000	149	0.605946747065	1.0	0.961,0.989,1.0	1.0,1.0,0.989	-0.013
64	"ENSMUSG00000031060"	"Rbm10"	chrX	+	20511675	20511836	20511675	20511833	20512007	20512105	64	121,81,104	86,81,121	101,119,136	110,116,155	152	149	0.409172892638	1.0	0.58,0.495,0.457	0.474,0.501,0.462	0.032
65	"ENSMUSG00000031012"	"Cask"	chrX	-	13652157	13652288	13652175	13652288	13580904	13581010	65	17,7,13	186,208,224	38,53,53	371,370,403	167	149	8.42107918148e-05	0.002081389123064311	0.075,0.029,0.049	0.084,0.113,0.105	-0.05
66	"ENSMUSG00000031169"	"Porcn"	chrX	-	8064444	8065391	8065305	8065391	8064213	8064324	66	15,6,18	14,23,26	42,43,56	12,31,19	1010	149	2.61850951999e-06	0.00012045143791954	0.136,0.037,0.093	0.341,0.17,0.303	-0.183
67	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8009485	8009571	8009489	8009571	8008606	8009194	67	2083,2402,2184	2326,2822,2802	3292,3782,3808	4244,4993,4881	153	149	0.308308009275	0.8675583064730672	0.466,0.453,0.432	0.43,0.425,0.432	0.021
68	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8010086	8010918	8010811	8010918	8009489	8009568	68	1369,1472,1489	6,4,9	1278,1361,1549	8,0,4	874	149	0.20907750838	0.6651918422234006	0.975,0.984,0.966	0.965,1.0,0.985	-0.008
69	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7750571	7750747	7750571	7750672	7751987	7752170	69	6,7,9	776,794,796	4,1,5	846,935,990	224	149	1	1.0	0.005,0.006,0.007	0.003,0.001,0.003	0.004
70	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7751987	7752170	7751987	7752131	7755850	7756002	70	632,610,574	0,0,1	708,752,805	4,0,7	188	149	1	1.0	1.0,1.0,0.998	0.993,1.0,0.989	0.005
71	"ENSMUSG00000031156"	"Slc35a2"	chrX	+	7758378	7759654	7758378	7759106	7760429	7760703	71	680,628,655	45,55,45	475,586,744	31,67,52	697	149	0.508450203752	1.0	0.764,0.709,0.757	0.766,0.652,0.754	0.019
72	"ENSMUSG00000031154"	"Otud5"	chrX	+	7733905	7734077	7733905	7734062	7734161	7734310	72	29,12,15	544,554,537	24,1,9	432,506,598	164	149	0.0526274779376	0.25937828412102854	0.046,0.019,0.025	0.048,0.002,0.013	0.009
74	"ENSMUSG00000031148"	"Gpkow"	chrX	+	7571538	7571671	7571538	7571611	7572249	7572388	74	324,330,276	0,2,1	213,288,401	0,2,2	209	149	1	1.0	1.0,0.992,0.995	1.0,0.99,0.993	0.001
75	"ENSMUSG00000031146"	"Plp2"	chrX	-	7535653	7535997	7535841	7535997	7535165	7535256	75	4137,3841,3785	2,0,0	2756,3478,3912	0,0,0	337	149	1	1.0	0.999,1.0,1.0	1.0,1.0,1.0	-0.0
76	"ENSMUSG00000035173"	"Ccdc186"	chr19	-	56796409	56796622	56796492	56796622	56790316	56790421	76	107,99,119	0,0,0	93,115,93	0,5,0	232	149	0.49393265998	1.0	1.0,1.0,1.0	1.0,0.937,1.0	0.021
77	"ENSMUSG00000035173"	"Ccdc186"	chr19	-	56796409	56796622	56796492	56796622	56795397	56795517	77	311,323,345	39,16,22	272,417,367	45,36,35	232	149	0.0505005014153	0.25189406730041203	0.837,0.928,0.91	0.795,0.882,0.871	0.042
81	"ENSMUSG00000025225"	"Nfkb2"	chr19	+	46294721	46294965	46294721	46294803	46295209	46295308	81	201,216,240	1,0,0	215,243,229	6,0,3	311	149	0.215397976954	0.6781350757335057	0.99,1.0,1.0	0.945,1.0,0.973	0.024
82	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46268976	46269182	46268976	46269170	46271473	46271624	82	185,216,214	355,354,313	268,297,304	423,488,532	161	149	0.977632192413	1.0	0.325,0.361,0.388	0.37,0.36,0.346	-0.001
83	"ENSMUSG00000038754"	"Elovl3"	chr19	+	46120335	46120706	46120335	46120612	46121562	46121694	83	1,0,0	5,0,1	4,6,6	4,7,10	243	149	1	1.0	0.109,NA,0.0	0.38,0.345,0.269	-0.277
84	"ENSMUSG00000025220"	"Oga"	chr19	-	45765325	45767123	45767025	45767123	45764486	45764658	84	1373,1283,1224	0,0,0	1512,1851,1618	0,0,2	1849	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.985	0.005
85	"ENSMUSG00000025217"	"Btrc"	chr19	+	45352525	45352713	45352525	45352581	45394983	45395025	85	22,28,9	0,4,1	22,25,24	2,2,0	281	149	0.580864099483	1.0	1.0,0.788,0.827	0.854,0.869,1.0	-0.036
86	"ENSMUSG00000025217"	"Btrc"	chr19	+	45352525	45352713	45352525	45352581	45411571	45411679	86	30,39,9	0,2,0	27,29,24	7,5,2	281	149	2.52881645106e-05	0.0007346877268342737	1.0,0.912,1.0	0.672,0.755,0.864	0.207
87	"ENSMUSG00000036097"	"Slf2"	chr19	+	44929897	44931378	44929897	44930865	44931887	44931958	87	221,336,299	135,114,143	392,437,338	105,117,130	662	149	0.00461176239563	0.043067440405188506	0.269,0.399,0.32	0.457,0.457,0.369	-0.098
89	"ENSMUSG00000025200"	"Cwf19l1"	chr19	-	44115804	44115923	44115855	44115923	44113246	44113331	89	191,185,161	2,2,0	220,218,265	2,0,2	200	149	1	1.0	0.986,0.986,1.0	0.988,1.0,0.99	-0.002
92	"ENSMUSG00000024989"	"Cep55"	chr19	+	38045857	38045990	38045857	38045928	38046236	38046431	92	373,343,377	51,40,54	302,293,308	56,64,55	211	149	0.00877744555281	0.07056043609443377	0.838,0.858,0.831	0.792,0.764,0.798	0.058
93	"ENSMUSG00000024989"	"Cep55"	chr19	+	38045857	38046014	38045857	38045928	38046236	38046431	93	358,349,354	51,40,54	252,244,270	56,64,55	235	149	0.00041434586974	0.007550622616790557	0.817,0.847,0.806	0.74,0.707,0.757	0.089
94	"ENSMUSG00000024989"	"Cep55"	chr19	+	38045857	38046014	38045857	38045990	38046236	38046431	94	120,127,108	135,121,131	80,87,96	130,136,134	173	149	0.01325621591	0.09503157379636364	0.434,0.475,0.415	0.346,0.355,0.382	0.08
95	"ENSMUSG00000039652"	"Cpeb3"	chr19	-	37116461	37116621	37116530	37116621	37103731	37103788	95	9,19,7	16,28,11	7,15,10	30,18,11	218	149	0.691292004873	1.0	0.278,0.317,0.303	0.138,0.363,0.383	0.005
97	"ENSMUSG00000024776"	"Stambpl1"	chr19	+	34169628	34170031	34169628	34169995	34197586	34197666	97	129,145,154	150,141,125	167,228,193	125,137,122	185	149	0.00222645869357	0.02605664732545527	0.409,0.453,0.498	0.518,0.573,0.56	-0.097
98	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29498173	29498369	29498247	29498369	29487548	29487729	98	3,1,2	1,0,0	0,4,8	0,4,0	223	149	1	1.0	0.667,1.0,1.0	NA,0.401,1.0	0.188
99	"ENSMUSG00000059363"	"Fxn"	chr19	-	24249667	24249831	24249710	24249831	24244665	24244763	99	8,5,5	316,296,307	3,3,4	358,424,448	192	149	0.461992071406	1.0	0.019,0.013,0.012	0.006,0.005,0.007	0.009
