Gene	Comparison	EventType	dPSI	FDR	Chromosome	Start	End	ExonLength	IGV_coordinate	IGV_narrow
Vps26a	KO_vs_Neg	SE	1	2.08e-11	chr10	62305679	62305836	157	chr10:62305179-62306336	chr10:62305579-62305936
Lmntd1	KO_vs_Parental	SE	1	1.94e-12	chr6	145363125	145363245	120	chr6:145362625-145363745	chr6:145363025-145363345
Bvht	KO_vs_Pos	SE	1	3.99e-13	chr18	61772026	61772151	125	chr18:61771526-61772651	chr18:61771926-61772251
Sag	KO_vs_Pos	SE	1	2.59e-10	chr1	87771833	87771843	10	chr1:87771333-87772343	chr1:87771733-87771943
1110004F10Rik	Pos_vs_Parental	SE	1	0	chr7	115692259	115692491	232	chr7:115691759-115692991	chr7:115692159-115692591
Tm9sf4	Pos_vs_Neg	SE	0.97	4.04e-13	chr2	153042562	153042738	176	chr2:153042062-153043238	chr2:153042462-153042838
Abraxas1	KO_vs_Pos	A5SS	0.932	2.65e-12	chr5	100957419	100957509	NA	chr5:100956919-100958009	chr5:100957319-100957609
Abraxas1	Pos_vs_Neg	A5SS	-0.907	3.3e-10	chr5	100957419	100957509	NA	chr5:100956919-100958009	chr5:100957319-100957609
Vat1l	Neg_vs_Parental	SE	-0.892	7.76e-10	chr8	114955025	114955062	37	chr8:114954525-114955562	chr8:114954925-114955162
Eno4	KO_vs_Parental	SE	0.884	1.23e-06	chr19	58933962	58934094	132	chr19:58933462-58934594	chr19:58933862-58934194
Sag	Pos_vs_Parental	SE	-0.884	7.26e-12	chr1	87771833	87771843	10	chr1:87771333-87772343	chr1:87771733-87771943
Rgs2	KO_vs_Neg	RI	-0.878	2.27e-09	chr1	143878517	143878791	NA	chr1:143878017-143879291	chr1:143878417-143878891
Eci1	KO_vs_Parental	SE	0.875	3.99e-12	chr17	24652115	24652234	119	chr17:24651615-24652734	chr17:24652015-24652334
Pygm	Pos_vs_Parental	SE	-0.872	9.93e-12	chr19	6436053	6436157	104	chr19:6435553-6436657	chr19:6435953-6436257
Cyp4f13	KO_vs_Neg	SE	0.859	6.23e-11	chr17	33151602	33151656	54	chr17:33151102-33152156	chr17:33151502-33151756
Pde4c	KO_vs_Neg	SE	-0.85	6.99e-08	chr8	71182756	71182933	177	chr8:71182256-71183433	chr8:71182656-71183033
A330102I10Rik	KO_vs_Parental	SE	0.85	6.58e-09	chr13	29200692	29200862	170	chr13:29200192-29201362	chr13:29200592-29200962
Glmp	Pos_vs_Neg	SE	-0.848	5.04e-08	chr3	88233421	88233619	198	chr3:88232921-88234119	chr3:88233321-88233719
Garin1b	Pos_vs_Neg	A3SS	0.838	4.17e-09	chr6	29330641	29330685	NA	chr6:29330141-29331185	chr6:29330541-29330785
Pnldc1	Pos_vs_Neg	A3SS	-0.836	4.4e-09	chr17	13113246	13113498	NA	chr17:13112746-13113998	chr17:13113146-13113598
Syt17	Neg_vs_Parental	A3SS	-0.831	2.63e-07	chr7	118042341	118042364	NA	chr7:118041841-118042864	chr7:118042241-118042464
Syt17	Pos_vs_Parental	A3SS	-0.831	1.12e-07	chr7	118042341	118042364	NA	chr7:118041841-118042864	chr7:118042241-118042464
Card14	KO_vs_Pos	SE	-0.83	7.05e-12	chr11	119233968	119234090	122	chr11:119233468-119234590	chr11:119233868-119234190
Atp5h	KO_vs_Pos	SE	0.825	5.88e-12	chr11	115309211	115309333	122	chr11:115308711-115309833	chr11:115309111-115309433
Ppargc1a	Pos_vs_Parental	A3SS	-0.818	2.36e-10	chr5	51647358	51647463	NA	chr5:51646858-51647963	chr5:51647258-51647563
Qtrt1	Pos_vs_Parental	SE	-0.818	2.2e-11	chr9	21326210	21326315	105	chr9:21325710-21326815	chr9:21326110-21326415
Ift46	Pos_vs_Parental	SE	0.809	6.1e-14	chr9	44685479	44685528	49	chr9:44684979-44686028	chr9:44685379-44685628
Map4k4	Pos_vs_Parental	A5SS	-0.808	1.01e-10	chr1	40046592	40046699	NA	chr1:40046092-40047199	chr1:40046492-40046799
Tm9sf4	Pos_vs_Parental	SE	0.806	6.41e-09	chr2	153042562	153042738	176	chr2:153042062-153043238	chr2:153042462-153042838
Eno4	Neg_vs_Parental	SE	0.805	5.16e-07	chr19	58933962	58934094	132	chr19:58933462-58934594	chr19:58933862-58934194
Col11a2	KO_vs_Neg	SE	-0.804	0.000171	chr17	34265413	34265476	63	chr17:34264913-34265976	chr17:34265313-34265576
Mark3	KO_vs_Neg	SE	0.8	0.000246	chr12	111581829	111581878	49	chr12:111581329-111582378	chr12:111581729-111581978
Adam32	KO_vs_Parental	SE	-0.8	6.05e-08	chr8	25362587	25362777	190	chr8:25362087-25363277	chr8:25362487-25362877
Fam117a	Pos_vs_Parental	SE	-0.8	5.44e-10	chr11	95246491	95246680	189	chr11:95245991-95247180	chr11:95246391-95246780
C7	KO_vs_Neg	SE	0.794	1.96e-08	chr15	5063667	5063835	168	chr15:5063167-5064335	chr15:5063567-5063935
Cdk8	Neg_vs_Parental	SE	0.793	9.14e-13	chr5	146205024	146205135	111	chr5:146204524-146205635	chr5:146204924-146205235
Ptk2	KO_vs_Neg	SE	0.792	9.95e-10	chr15	73231874	73232186	312	chr15:73231374-73232686	chr15:73231774-73232286
Npc1l1	Pos_vs_Neg	SE	0.792	1.66e-09	chr11	6167706	6167833	127	chr11:6167206-6168333	chr11:6167606-6167933
Eci1	KO_vs_Parental	SE	0.79	4.08e-10	chr17	24655151	24655298	147	chr17:24654651-24655798	chr17:24655051-24655398
Nrxn3	Neg_vs_Parental	SE	-0.789	1.58e-08	chr12	89321222	89321249	27	chr12:89320722-89321749	chr12:89321122-89321349
Tmtc4	Neg_vs_Parental	A3SS	-0.787	6.73e-08	chr14	123187900	123188004	NA	chr14:123187400-123188504	chr14:123187800-123188104
