"Comparison","EventType","EventDescription","GeneSymbol","GeneID","Chromosome","Strand","FDR","DeltaPSI","PSI_Group1","PSI_Group2","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","riExonStart_0base","riExonEnd"
"Pos_vs_Neg","SE","Skipped Exon","Phf8","ENSMUSG00000041229","chrX","+",0.02430456105651,-0.112,"0.636,0.626,0.604","0.679,0.764,0.758",150355361,150355664,150353337,150353427,150356408,150356512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",0,-0.211,"0.696,0.682,0.653","0.857,0.897,0.909",132973163,132973223,132970593,132970656,132973884,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Cstf2","ENSMUSG00000031256","chrX","+",0.0114711038322375,-0.162,"0.514,0.434,0.486","0.523,0.681,0.716",132973426,132973513,132973163,132973223,132973884,132974026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","5330434G04Rik","ENSMUSG00000087620","chrX","-",0.00644114861619684,-0.48,"0.0,0.0,0.0","0.439,1.0,0.0",104421621,104421726,104419263,104419443,104426358,104426555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Taf1","ENSMUSG00000031314","chrX","+",0.00510598170639072,-0.123,"0.161,0.257,0.139","0.295,0.364,0.266",100634339,100634345,100634078,100634195,100637545,100637671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Tab3","ENSMUSG00000035476","chrX","+",0.00398511493363119,0.155,"0.703,1.0,1.0","0.663,0.77,0.805",84637257,84637360,84619155,84619216,84652998,84653190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Tafazzin","ENSMUSG00000009995","chrX","+",2.21973022159703e-07,-0.167,"0.654,0.632,0.58","0.747,0.79,0.831",73332267,73332320,73332053,73332119,73332710,73332788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Tafazzin","ENSMUSG00000009995","chrX","+",0.0175227732174072,-0.231,"0.181,0.201,0.169","0.212,0.443,0.59",73332534,73332625,73332056,73332119,73332710,73332788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Tafazzin","ENSMUSG00000009995","chrX","+",0.0292797805256068,-0.21,"0.145,0.123,0.139","0.135,0.367,0.534",73332589,73332625,73332053,73332119,73332710,73332788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pos_vs_Neg","SE","Skipped Exon","Cask","ENSMUSG00000031012","chrX","-",0.000990863412885539,-0.13,"0.611,0.603,0.58","0.699,0.677,0.807",13417185,13417221,13415403,13415600,13418611,13418680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
