Supplementary Table 17:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
VARIANT,GFP,LOW,MID,HIGH,Library
ABI1-HsaEX0000641-add_0-12,23.73,50.44,94.14,97.13,T0
ABI1-HsaEX0000641-add_0-15,52.48,73.9,96.45,98.04,T0
ABI1-HsaEX0000641-add_0-18,50.84,71.68,94.64,97.65,T0
ABI1-HsaEX0000641-add_0-21,30.19,47.76,93.43,96.84,T0
ABI1-HsaEX0000641-add_0-24,12.11,27.48,86.29,93.48,T0
ABI1-HsaEX0000641-add_0-27,8.33,17.1,78.79,95.32,T0
ABI1-HsaEX0000641-add_0-3,1.17,8.68,82.01,92.41,T0
ABI1-HsaEX0000641-add_0-6,3.49,17.5,90.1,96.19,T0
ABI1-HsaEX0000641-add_0-9,12.87,36.04,92.51,96.56,T0
ABI1-HsaEX0000641-add_1-12,10.67,36.7,92.25,97.3,T0
ABI1-HsaEX0000641-add_1-15,4.33,15.99,87.15,95.17,T0
ABI1-HsaEX0000641-add_1-18,37.74,65.36,95.51,98.41,T0
ABI1-HsaEX0000641-add_1-21,2.16,7.27,83.35,93.66,T0
ABI1-HsaEX0000641-add_1-27,1.51,6.5,78.99,91.82,T0
ABI1-HsaEX0000641-add_1-3,3.62,19.44,88.44,96.88,T0
ABI1-HsaEX0000641-add_1-6,3.93,20.36,89.6,96.56,T0
ABI1-HsaEX0000641-add_1-9,11.12,34.84,91.67,96.54,T0
ABI1-HsaEX0000641-add_2-12,2.15,10.95,86.64,94.78,T0
ABI1-HsaEX0000641-add_2-15,0.19,1.47,69.84,83,T0
ABI1-HsaEX0000641-add_2-18,1.71,6.3,83.87,92.21,T0
ABI1-HsaEX0000641-add_2-21,0.55,2.43,72.45,85.45,T0
ABI1-HsaEX0000641-add_2-24,1.7,3.17,67.42,81.79,T0
ABI1-HsaEX0000641-add_2-3,1.15,5.43,79.44,89.87,T0
ABI1-HsaEX0000641-add_2-6,1.8,13.3,84.74,94.55,T0
ABI1-HsaEX0000641-add_2-9,0.78,5.08,78.73,90.9,T0
ABI1-HsaEX0000641-rem-3,2.56,10.09,86.93,95.85,T0
ABI1-HsaEX0000641-rem-6,0.34,1.55,63.49,78.48,T0
ABI1-HsaEX0000641-rem-9,4.41,15.77,83.87,94.5,T0
ABI1-HsaEX0000641-WT,1.18,8.6,83.17,93.68,T0
ABI2-HsaEX1046522-add_0-12,0.19,0.35,54.25,74.03,T0
ABI2-HsaEX1046522-add_0-15,0.68,2.19,75.33,87.3,T0
ABI2-HsaEX1046522-add_0-18,0.55,1.43,66.22,79.5,T0
ABI2-HsaEX1046522-add_0-21,0.2,0.75,50.99,66.83,T0
ABI2-HsaEX1046522-add_0-24,0,0.21,14.55,36.05,T0
ABI2-HsaEX1046522-add_0-3,0,0.22,19.61,31.45,T0
ABI2-HsaEX1046522-add_0-6,0.12,,13.78,21.37,T0
ABI2-HsaEX1046522-add_0-9,0.04,0.19,36.14,56.06,T0
ABI2-HsaEX1046522-add_1-12,0.52,0.41,64.08,82.01,T0
ABI2-HsaEX1046522-add_1-15,0,0,23.47,39.91,T0
ABI2-HsaEX1046522-add_1-18,0.14,0.27,41.18,59,T0
ABI2-HsaEX1046522-add_1-24,0,0,8.25,15.76,T0
ABI2-HsaEX1046522-add_1-3,0,0.17,32.86,50.36,T0
ABI2-HsaEX1046522-add_1-6,0,3.08,68.64,85.8,T0
ABI2-HsaEX1046522-add_1-9,0.1,0.35,54.31,73.26,T0
ABI2-HsaEX1046522-add_2-12,0,0,5.46,5.92,T0
ABI2-HsaEX1046522-add_2-15,0,0,1.45,1.95,T0
ABI2-HsaEX1046522-add_2-18,0,0,3.26,5.49,T0
ABI2-HsaEX1046522-add_2-21,0,0.18,1.44,1.38,T0
ABI2-HsaEX1046522-add_2-3,0,0.12,5.08,8.9,T0
ABI2-HsaEX1046522-add_2-6,0.1,0.05,8.18,16.59,T0
ABI2-HsaEX1046522-add_2-9,0,0.16,3.77,8.27,T0
ABI2-HsaEX1046522-rem-3,0,0.14,20.57,34.51,T0
ABI2-HsaEX1046522-rem-6,0.02,0.03,13.05,30.01,T0
ABI2-HsaEX1046522-rem-9,0,0.14,18.73,32.2,T0
ABI2-HsaEX1046522-WT,0,0.12,6.43,14.97,T0
ACSL4-HsaEX1045708-add_0-12,2.43,2.75,23.54,33.95,T0
ACSL4-HsaEX1045708-add_0-15,5.25,7.46,35.71,58.69,T0
ACSL4-HsaEX1045708-add_0-18,6.82,11.83,55.63,66.77,T0
ACSL4-HsaEX1045708-add_0-21,8.44,13.28,46.43,60.67,T0
ACSL4-HsaEX1045708-add_0-24,10.72,17.04,67.45,75.19,T0
ACSL4-HsaEX1045708-add_0-3,2.29,0.85,5.15,11.83,T0
ACSL4-HsaEX1045708-add_0-6,0.24,0.52,6.19,12.3,T0
ACSL4-HsaEX1045708-add_0-9,0.26,0.49,5.61,7.08,T0
ACSL4-HsaEX1045708-add_1-12,26.61,21.7,73.24,84.13,T0
ACSL4-HsaEX1045708-add_1-15,14.97,18.83,61.55,78.66,T0
ACSL4-HsaEX1045708-add_1-18,9.92,13.35,57.17,68.1,T0
ACSL4-HsaEX1045708-add_1-24,1.57,2.94,14.36,25.4,T0
ACSL4-HsaEX1045708-add_1-3,2.93,4.75,29.08,45.11,T0
ACSL4-HsaEX1045708-add_1-6,4.37,5.39,38.8,50.86,T0
ACSL4-HsaEX1045708-add_1-9,5.18,10.57,52.01,67.2,T0
ACSL4-HsaEX1045708-add_2-12,1.22,1.68,10.45,20.47,T0
ACSL4-HsaEX1045708-add_2-15,0,0.12,0.87,1.45,T0
ACSL4-HsaEX1045708-add_2-18,0.32,0,1.39,1.51,T0
ACSL4-HsaEX1045708-add_2-21,0,0,0.64,0.88,T0
ACSL4-HsaEX1045708-add_2-3,0.38,0.37,2.65,7.68,T0
ACSL4-HsaEX1045708-add_2-6,0.74,0.86,6.72,13.56,T0
ACSL4-HsaEX1045708-add_2-9,2.55,0.52,4.17,6.61,T0
ACSL4-HsaEX1045708-rem-12,1.66,2.91,26.25,43.96,T0
ACSL4-HsaEX1045708-rem-3,0.8,0.56,8.31,14.39,T0
ACSL4-HsaEX1045708-rem-6,0.09,1.76,9.24,13.92,T0
ACSL4-HsaEX1045708-rem-9,1.36,5.27,24.18,42.92,T0
ACSL4-HsaEX1045708-WT,0.53,0.74,7.07,8.73,T0
ACVR2A-HsaEX0002213-add_0-12,86.7,94.6,98.56,98.9,T0
ACVR2A-HsaEX0002213-add_0-15,93.81,96.35,99,99.05,T0
ACVR2A-HsaEX0002213-add_0-18,87.63,91.8,97.77,98.66,T0
ACVR2A-HsaEX0002213-add_0-3,2.07,21.49,91.93,97.15,T0
ACVR2A-HsaEX0002213-add_0-6,4.22,31.37,90.18,94.92,T0
ACVR2A-HsaEX0002213-add_0-9,46.6,75.34,96.52,98.66,T0
ACVR2A-HsaEX0002213-add_1-12,38.72,69.49,96.11,98.52,T0
ACVR2A-HsaEX0002213-add_1-18,39.6,64.41,95.19,97.72,T0
ACVR2A-HsaEX0002213-add_1-3,1.93,28.17,91.67,97.06,T0
ACVR2A-HsaEX0002213-add_1-6,2.81,18.66,91.22,96.57,T0
ACVR2A-HsaEX0002213-add_1-9,28.47,57.74,94.5,98.28,T0
ACVR2A-HsaEX0002213-add_2-12,0.67,5.48,86.78,94.45,T0
ACVR2A-HsaEX0002213-add_2-15,0.3,1.56,76.74,89.62,T0
ACVR2A-HsaEX0002213-add_2-3,0.18,9.14,86.7,94.33,T0
ACVR2A-HsaEX0002213-add_2-6,0.7,5.88,85.47,95.39,T0
ACVR2A-HsaEX0002213-add_2-9,0.36,1.45,78.31,90.11,T0
ACVR2A-HsaEX0002213-rem-12,0.67,1.3,30.27,55.04,T0
ACVR2A-HsaEX0002213-rem-15,0.54,0.7,10.45,18.97,T0
ACVR2A-HsaEX0002213-rem-18,0.12,0.46,2.21,2.99,T0
ACVR2A-HsaEX0002213-rem-3,2.12,24.37,91.17,97.07,T0
ACVR2A-HsaEX0002213-rem-6,0.96,7.62,81.67,92.18,T0
ACVR2A-HsaEX0002213-rem-9,1,4.26,65.22,84.56,T0
ACVR2A-HsaEX0002213-WT,0.88,16.18,88.48,95.23,T0
ADGRD1-HsaEX6070119-rem-12,99.14,98.74,98.58,99.03,T0
ADGRD1-HsaEX6070119-rem-15,98.42,98.84,99.01,98.33,T0
ADGRD1-HsaEX6070119-rem-18,98.8,98.64,98.34,98.65,T0
ADGRD1-HsaEX6070119-rem-21,99.23,98.83,98.59,98.63,T0
ADGRD1-HsaEX6070119-rem-24,98.47,98.3,97.9,98.19,T0
ADGRD1-HsaEX6070119-rem-27,97.83,97.34,97.16,97.24,T0
ADGRD1-HsaEX6070119-rem-3,98.96,98.28,98.23,97.71,T0
ADGRD1-HsaEX6070119-rem-30,95.72,94.67,94.9,95.58,T0
ADGRD1-HsaEX6070119-rem-33,96.38,94.89,96.13,96.09,T0
ADGRD1-HsaEX6070119-rem-36,,,,,T0
ADGRD1-HsaEX6070119-rem-6,98.96,98.39,98.67,98.47,T0
ADGRD1-HsaEX6070119-rem-9,99.49,99.16,98.7,99.24,T0
ADGRD1-HsaEX6070119-WT,99.17,98.93,98.89,98.89,T0
ADGRL2-HsaEX0036234-add_0-12,,,,,T0
ADGRL2-HsaEX0036234-add_0-15,,,,,T0
ADGRL2-HsaEX0036234-add_0-18,,,,,T0
ADGRL2-HsaEX0036234-add_0-21,,,,,T0
ADGRL2-HsaEX0036234-add_0-24,,,,,T0
ADGRL2-HsaEX0036234-add_0-27,,,,,T0
ADGRL2-HsaEX0036234-add_0-3,,,,,T0
ADGRL2-HsaEX0036234-add_0-30,5.11,4.17,9.65,16.67,T0
ADGRL2-HsaEX0036234-add_0-6,0,0,0,0,T0
ADGRL2-HsaEX0036234-add_0-9,0,0,0,0,T0
ADGRL2-HsaEX0036234-add_1-12,,,,,T0
ADGRL2-HsaEX0036234-add_1-15,,,,,T0
ADGRL2-HsaEX0036234-add_1-18,,,,,T0
ADGRL2-HsaEX0036234-add_1-21,,,,,T0
ADGRL2-HsaEX0036234-add_1-24,,,,,T0
ADGRL2-HsaEX0036234-add_1-3,,,,,T0
ADGRL2-HsaEX0036234-add_1-30,1.54,1.9,2.71,3.42,T0
ADGRL2-HsaEX0036234-add_1-6,,,,,T0
ADGRL2-HsaEX0036234-add_1-9,,,,,T0
ADGRL2-HsaEX0036234-add_2-12,,,,,T0
ADGRL2-HsaEX0036234-add_2-15,,,,,T0
ADGRL2-HsaEX0036234-add_2-18,0,0,0,0,T0
ADGRL2-HsaEX0036234-add_2-21,,,,,T0
ADGRL2-HsaEX0036234-add_2-24,,,,,T0
ADGRL2-HsaEX0036234-add_2-27,,,,,T0
ADGRL2-HsaEX0036234-add_2-3,0,0,0,0,T0
ADGRL2-HsaEX0036234-add_2-6,,,,,T0
ADGRL2-HsaEX0036234-add_2-9,,,,,T0
ADGRL2-HsaEX0036234-rem-3,,,,,T0
ADGRL2-HsaEX0036234-WT,,,,,T0
ADGRL2-HsaEX6031765-add_0-12,0.47,0.15,0.87,2.08,T0
ADGRL2-HsaEX6031765-add_0-15,1.91,4.95,17.33,24.18,T0
ADGRL2-HsaEX6031765-add_0-18,1.95,2.54,8.79,9.93,T0
ADGRL2-HsaEX6031765-add_0-21,0.38,0.74,1.47,1.95,T0
ADGRL2-HsaEX6031765-add_0-24,0.17,0.25,0.58,0.74,T0
ADGRL2-HsaEX6031765-add_0-3,0,0,1.14,2.45,T0
ADGRL2-HsaEX6031765-add_0-6,0.12,0.26,0.47,0.9,T0
ADGRL2-HsaEX6031765-add_0-9,0.35,0.45,2.25,2.56,T0
ADGRL2-HsaEX6031765-add_1-12,0.96,1.9,3.89,6.71,T0
ADGRL2-HsaEX6031765-add_1-15,0.06,0.19,1.01,1.69,T0
ADGRL2-HsaEX6031765-add_1-18,0,0,0.29,0.36,T0
ADGRL2-HsaEX6031765-add_1-24,0.32,0.13,0.37,1.5,T0
ADGRL2-HsaEX6031765-add_1-3,0.15,0.51,2.65,5.02,T0
ADGRL2-HsaEX6031765-add_1-6,0.2,0.52,1.42,1.99,T0
ADGRL2-HsaEX6031765-add_1-9,0.12,0.24,0.43,0.37,T0
ADGRL2-HsaEX6031765-add_2-12,0,0,0,0,T0
ADGRL2-HsaEX6031765-add_2-15,0,0,0,0.23,T0
ADGRL2-HsaEX6031765-add_2-18,0,0,0,0,T0
ADGRL2-HsaEX6031765-add_2-21,0.04,0,0.5,0,T0
ADGRL2-HsaEX6031765-add_2-3,0,0,0.27,0.44,T0
ADGRL2-HsaEX6031765-add_2-6,0,0.08,0.21,0,T0
ADGRL2-HsaEX6031765-add_2-9,0,0,0,0,T0
ADGRL2-HsaEX6031765-rem-12,0,0,0,0,T0
ADGRL2-HsaEX6031765-rem-3,0,0,0.3,0.22,T0
ADGRL2-HsaEX6031765-rem-6,0,0,0,0,T0
ADGRL2-HsaEX6031765-rem-9,0,0,0,0,T0
ADGRL2-HsaEX6031765-WT,0,0,0.17,0.41,T0
AGAP1-HsaEX0003019-add_0-12,97.95,97.72,98.34,98.58,T0
AGAP1-HsaEX0003019-add_0-15,96.95,96.88,96.84,97.13,T0
AGAP1-HsaEX0003019-add_0-18,98.41,98.95,98.28,98.6,T0
AGAP1-HsaEX0003019-add_0-21,98.78,98.89,99.12,99.11,T0
AGAP1-HsaEX0003019-add_0-24,99.21,98.36,98.27,99.03,T0
AGAP1-HsaEX0003019-add_0-27,99.39,98.68,98.84,98.98,T0
AGAP1-HsaEX0003019-add_0-3,59.94,69.85,84.46,86.15,T0
AGAP1-HsaEX0003019-add_0-30,99.22,99.04,99.05,98.82,T0
AGAP1-HsaEX0003019-add_0-6,74.91,80.04,91.77,93.96,T0
AGAP1-HsaEX0003019-add_0-9,94.68,94.49,96.18,96.97,T0
AGAP1-HsaEX0003019-add_1-12,73.37,73.25,81.74,83.92,T0
AGAP1-HsaEX0003019-add_1-15,98.43,97.88,98.68,99.06,T0
AGAP1-HsaEX0003019-add_1-18,98.2,98.01,98.23,98.58,T0
AGAP1-HsaEX0003019-add_1-21,99.17,99.06,99,99.46,T0
AGAP1-HsaEX0003019-add_1-24,99.31,98.93,98.74,98.82,T0
AGAP1-HsaEX0003019-add_1-3,69.07,74.62,86.05,89.3,T0
AGAP1-HsaEX0003019-add_1-30,99.26,99.21,99.22,99.26,T0
AGAP1-HsaEX0003019-add_1-6,80.3,85.15,93.38,94.53,T0
AGAP1-HsaEX0003019-add_1-9,92.32,92.38,95.51,96.83,T0
AGAP1-HsaEX0003019-add_2-12,19.23,29.13,53.1,58.57,T0
AGAP1-HsaEX0003019-add_2-15,14.66,19.22,36.37,45.78,T0
AGAP1-HsaEX0003019-add_2-18,28.22,32.7,51.66,59.33,T0
AGAP1-HsaEX0003019-add_2-21,35.29,42.38,55.03,60.72,T0
AGAP1-HsaEX0003019-add_2-24,10.06,12.68,23.91,27.44,T0
AGAP1-HsaEX0003019-add_2-27,6.55,8.11,13.41,14.73,T0
AGAP1-HsaEX0003019-add_2-3,7.28,12.06,16.32,20.47,T0
AGAP1-HsaEX0003019-add_2-6,4.95,7.59,16.29,22.85,T0
AGAP1-HsaEX0003019-add_2-9,4.37,6.37,14.23,18.88,T0
AGAP1-HsaEX0003019-rem-3,6.66,10.44,15.42,18.04,T0
AGAP1-HsaEX0003019-rem-6,9.72,16.69,24.3,28.45,T0
AGAP1-HsaEX0003019-WT,50.44,58.78,75.87,81.73,T0
