"VastDB.ID","paper_gene","paper_length","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","exon_size","strand","IncLevelDifference","FDR"
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,FALSE,23775,"1500009L16Rik","chr10",83573772,83573797,25,"+",-0.004,1
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,TRUE,23776,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.005,1
"MmuEX0000800","2210408F21Rik",29,"gene_size",2,TRUE,46167,"2210408F21Rik","chr6",31305266,31305295,29,"+",0.173,0.380694405482486
"MmuEX0000800","2210408F21Rik",29,"gene_size",2,FALSE,46168,"2210408F21Rik","chr6",31305266,31305295,29,"+",-0.06,1
"MmuEX0001195","2700062C07Rik",23,"gene_size",2,FALSE,2740,"2700062C07Rik","chr18",24604118,24604141,23,"+",-0.014,0.482357065842646
"MmuEX0001195","2700062C07Rik",23,"gene_size",2,TRUE,2741,"2700062C07Rik","chr18",24604118,24604141,23,"+",-0.102,0.0216985677542389
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",2,TRUE,18269,"9430015G10Rik","chr4",156208432,156208458,26,"+",0.006,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",2,FALSE,18271,"9430015G10Rik","chr4",156208548,156208579,31,"+",0.004,1
"MmuEX0003242","Abi1",15,"gene_size",2,FALSE,24407,"Abi1","chr2",22853225,22853240,15,"-",0.003,1
"MmuEX0003242","Abi1",15,"gene_size",2,TRUE,24408,"Abi1","chr2",22853225,22853240,15,"-",0.008,1
"MmuEX0003484","Acly",30,"gene_size",2,FALSE,13867,"Acly","chr11",100393985,100394015,30,"-",-0.001,1
"MmuEX0003484","Acly",30,"gene_size",2,TRUE,13868,"Acly","chr11",100393985,100394015,30,"-",0.011,1
"MmuEX0004311","Agrn",24,"gene_size",3,FALSE,28235,"Agrn","chr4",156253002,156253026,24,"-",0.066,0
"MmuEX0004311","Agrn",24,"gene_size",3,FALSE,28236,"Agrn","chr4",156253002,156253026,24,"-",-0.065,0.200130346749842
"MmuEX0004311","Agrn",24,"gene_size",3,TRUE,28237,"Agrn","chr4",156253002,156253026,24,"-",0.323,0.00409956888691432
"MmuEX0004470","Akap1",13,"gene_size",2,TRUE,30533,"Akap1","chr11",88734637,88734650,13,"-",0.014,1
"MmuEX0004470","Akap1",13,"gene_size",2,FALSE,30534,"Akap1","chr11",88734637,88734650,13,"-",-0.013,1
"MmuEX0004898","Ank2",12,"gene_size",2,FALSE,24012,"Ank2","chr3",126772904,126772916,12,"-",0.008,1
"MmuEX0004898","Ank2",12,"gene_size",2,TRUE,24013,"Ank2","chr3",126772904,126772916,12,"-",0.138,0.00303344410374097
"MmuEX0004901","Ank2",24,"gene_size",2,TRUE,24019,"Ank2","chr3",126845874,126845898,24,"-",0.041,1
"MmuEX0004901","Ank2",24,"gene_size",2,FALSE,24020,"Ank2","chr3",126845874,126845898,24,"-",0.005,1
"MmuEX0004910","Ank3",12,"gene_size",2,TRUE,57918,"Ank3","chr10",69765276,69765288,12,"+",0.251,0.00548380560396285
"MmuEX0004910","Ank3",12,"gene_size",2,FALSE,57919,"Ank3","chr10",69765276,69765288,12,"+",0.003,1
